ModelGeography,SubGeography1,SubGeography2,Year,BOF+EAF+IF
INDIA,SR,TS,2036,0
INDIA,WR,CG,2036,14.74082139
INDIA,WR,GA,2036,0
INDIA,WR,GJ,2036,8.844492834
INDIA,WR,MH,2036,14.74082139
INDIA,WR,MP,2036,0
INDIA,ER,BR,2037,0
INDIA,ER,JH,2037,33.97542822
INDIA,ER,OD,2037,58.90976873
INDIA,ER,SK,2037,0
INDIA,ER,WB,2037,10.52190457
INDIA,NER,AS,2037,0
INDIA,NER,NE,2037,0
INDIA,NR,DL,2037,0
INDIA,NR,HP,2037,0
INDIA,NR,HR,2037,0
INDIA,NR,JK,2037,0
INDIA,NR,PB,2037,0
INDIA,NR,RJ,2037,0
INDIA,NR,UK,2037,0
INDIA,NR,UP,2037,0
INDIA,SR,AP,2037,10.02090911
INDIA,SR,KA,2037,28.26741635
INDIA,SR,KL,2037,0
INDIA,SR,TN,2037,1.518107441
INDIA,SR,TS,2037,0
INDIA,WR,CG,2037,15.18307441
INDIA,WR,GA,2037,0
INDIA,WR,GJ,2037,9.109644649
INDIA,WR,MH,2037,15.18307441
INDIA,WR,MP,2037,0
INDIA,ER,BR,2038,0
INDIA,ER,JH,2038,34.99468696
INDIA,ER,OD,2038,60.67719842
INDIA,ER,SK,2038,0
INDIA,ER,WB,2038,10.83703699
INDIA,NER,AS,2038,0
INDIA,NER,NE,2038,0
INDIA,NR,DL,2038,0
INDIA,NR,HP,2038,0
INDIA,NR,HR,2038,0
INDIA,NR,JK,2038,0
INDIA,NR,PB,2038,0
INDIA,NR,RJ,2038,0
INDIA,NR,UK,2038,0
INDIA,NR,UP,2038,0
INDIA,SR,AP,2038,10.32117808
INDIA,SR,KA,2038,29.11614872
INDIA,SR,KL,2038,0
INDIA,SR,TN,2038,1.564087588
INDIA,SR,TS,2038,0
INDIA,WR,CG,2038,15.63887588
INDIA,WR,GA,2038,0
INDIA,WR,GJ,2038,9.383525529
INDIA,WR,MH,2038,15.63887588
INDIA,WR,MP,2038,0
INDIA,ER,BR,2039,0
INDIA,ER,JH,2039,36.04382844
INDIA,ER,OD,2039,62.49757111
INDIA,ER,SK,2039,0
INDIA,ER,WB,2039,11.16294633
INDIA,NER,AS,2039,0
INDIA,NER,NE,2039,0
INDIA,NR,DL,2039,0
INDIA,NR,HP,2039,0
INDIA,NR,HR,2039,0
INDIA,NR,JK,2039,0
INDIA,NR,PB,2039,0
INDIA,NR,RJ,2039,0
INDIA,NR,UK,2039,0
INDIA,NR,UP,2039,0
INDIA,SR,AP,2039,10.63090127
INDIA,SR,KA,2039,29.98908786
INDIA,SR,KL,2039,0
INDIA,SR,TN,2039,1.611045647
INDIA,SR,TS,2039,0
INDIA,WR,CG,2039,16.10745647
INDIA,WR,GA,2039,0
INDIA,WR,GJ,2039,9.664273882
INDIA,WR,MH,2039,16.10745647
INDIA,WR,MP,2039,0
INDIA,ER,BR,2040,0
INDIA,ER,JH,2040,37.1253806
INDIA,ER,OD,2040,64.37280217
INDIA,ER,SK,2040,0
INDIA,ER,WB,2040,11.49779611
INDIA,NER,AS,2040,0
INDIA,NER,NE,2040,0
INDIA,NR,DL,2040,0
INDIA,NR,HP,2040,0
INDIA,NR,HR,2040,0
INDIA,NR,JK,2040,0
INDIA,NR,PB,2040,0
INDIA,NR,RJ,2040,0
INDIA,NR,UK,2040,0
INDIA,NR,UP,2040,0
INDIA,SR,AP,2040,10.95023439
INDIA,SR,KA,2040,30.88867301
INDIA,SR,KL,2040,0
INDIA,SR,TN,2040,1.659005211
INDIA,SR,TS,2040,0
INDIA,WR,CG,2040,16.59105211
INDIA,WR,GA,2040,0
INDIA,WR,GJ,2040,9.955031264
INDIA,WR,MH,2040,16.59105211
INDIA,WR,MP,2040,0
INDIA,ER,BR,2041,0
INDIA,ER,JH,2041,38.23888334
INDIA,ER,OD,2041,66.30382779
INDIA,ER,SK,2041,0
INDIA,ER,WB,2041,11.84275352
