ModelGeography,SubGeography1,SubGeography2,Year,4W+IPT3W+IPT4W+2W+BUS+RAIL
INDIA,WR,GA,2024,13086.933274791047
INDIA,WR,GA,2025,12835.048612541848
INDIA,WR,GA,2026,12587.484131151812
INDIA,WR,GA,2027,12344.182188336934
INDIA,WR,GA,2028,12106.540738160988
INDIA,WR,GA,2029,11873.028502662848
INDIA,WR,GA,2030,11643.59
INDIA,WR,GA,2031,11321.348589558313
INDIA,WR,GA,2032,11009.024081974698
INDIA,WR,GA,2033,10704.975766437748
INDIA,WR,GA,2034,10410.351756691589
INDIA,WR,GA,2035,10122.236493139742
INDIA,WR,GA,2036,9843.116247569047
INDIA,WR,GA,2037,9571.455005133177
INDIA,WR,GA,2038,9307.070173909668
INDIA,WR,GA,2039,9049.78330421651
INDIA,WR,GA,2040,8800.65
INDIA,WR,GA,2041,8557.021016892106
INDIA,WR,GJ,2014,13453.125
INDIA,WR,GJ,2015,13360.627477968035
INDIA,WR,GJ,2016,13268.76592650663
INDIA,WR,GJ,2017,13177.5359729736
INDIA,WR,GJ,2018,13086.933274791047
INDIA,WR,GJ,2019,12996.95351923865
INDIA,WR,GJ,2020,13453.125
INDIA,WR,GJ,2021,13360.627477968035
INDIA,WR,GJ,2022,13268.76592650663
INDIA,WR,GJ,2023,13177.5359729736
INDIA,WR,GJ,2024,13086.933274791047
INDIA,WR,GJ,2025,12835.048612541848
INDIA,WR,GJ,2026,12587.484131151812
INDIA,WR,GJ,2027,12344.182188336934
INDIA,WR,GJ,2028,12106.540738160988
INDIA,WR,GJ,2029,11873.028502662848
INDIA,WR,GJ,2030,11643.59
INDIA,WR,GJ,2031,11321.348589558313
INDIA,WR,GJ,2032,11009.024081974698
INDIA,WR,GJ,2033,10704.975766437748
INDIA,WR,GJ,2034,10410.351756691589
