EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NR,281.4502586071553
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,SR,206.66247046434955
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NER,13.9845012104054
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,ER,185.15230948103056
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,WR,362.6587708676623
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NR,383.50334673865876
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,SR,342.0583416763163
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NER,11.307677177958189
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,ER,80.26533893891855
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,WR,139.0750834649712
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NR,154.20458181295564
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,SR,120.66603310864178
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NER,7.738385302301089
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,ER,81.63985862143299
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,WR,152.69103487431022
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NR,158.31056900769437
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,SR,130.1012009543176
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NER,7.385388298779946
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,ER,82.79233769523266
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,WR,156.8837537522317
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NR,166.74264134817474
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,SR,134.86860967749544
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NER,8.165378950731776
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,82.4645782253434
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,154.39467889889715
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,165.36089931692743
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,131.6427928938936
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,7.912944590955087
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,ER,118.89169196791941
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,WR,194.64251807967148
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,NR,254.2091915782556
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,SR,173.5402712555555
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,NER,15.886619665561787
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,ER,188.46671598882273
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,WR,282.5909428672635
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,NR,349.38460484706496
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,SR,240.88602388301234
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,NER,13.944422583791154
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,ER,66.0712484533177
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,WR,136.49777733883838
