EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ECCostInBT_BA
ELECTRICITY,2027,SPRING,ALLDAYS,MORN,INDIA,ER,222.14014682200244
ELECTRICITY,2027,SPRING,ALLDAYS,MORN,INDIA,WR,814.7356330967376
ELECTRICITY,2027,SPRING,ALLDAYS,MORN,INDIA,NR,580.1729110628147
ELECTRICITY,2027,SPRING,ALLDAYS,MORN,INDIA,SR,461.74728355453277
ELECTRICITY,2027,SPRING,ALLDAYS,MORN,INDIA,NER,14.492379084907492
ELECTRICITY,2027,SPRING,ALLDAYS,MID,INDIA,ER,245.6608532954301
ELECTRICITY,2027,SPRING,ALLDAYS,MID,INDIA,WR,893.9249995858238
ELECTRICITY,2027,SPRING,ALLDAYS,MID,INDIA,NR,645.7746537152296
ELECTRICITY,2027,SPRING,ALLDAYS,MID,INDIA,SR,518.0362976964742
ELECTRICITY,2027,SPRING,ALLDAYS,MID,INDIA,NER,17.460888757193388
ELECTRICITY,2027,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,241.49313833747118
ELECTRICITY,2027,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,866.1202993244751
ELECTRICITY,2027,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,675.4467683417266
ELECTRICITY,2027,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,498.97051361382574
ELECTRICITY,2027,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,16.582407868198292
ELECTRICITY,2027,SPRING,ALLDAYS,EVENING,INDIA,ER,302.7990308821683
ELECTRICITY,2027,SPRING,ALLDAYS,EVENING,INDIA,WR,937.145043685841
ELECTRICITY,2027,SPRING,ALLDAYS,EVENING,INDIA,NR,754.0323077759417
ELECTRICITY,2027,SPRING,ALLDAYS,EVENING,INDIA,SR,595.8186444801172
ELECTRICITY,2027,SPRING,ALLDAYS,EVENING,INDIA,NER,35.2030206487594
ELECTRICITY,2027,SPRING,ALLDAYS,NIGHT,INDIA,ER,403.9918510909609
ELECTRICITY,2027,SPRING,ALLDAYS,NIGHT,INDIA,WR,1320.3295235866299
ELECTRICITY,2027,SPRING,ALLDAYS,NIGHT,INDIA,NR,1046.7230092101267
ELECTRICITY,2027,SPRING,ALLDAYS,NIGHT,INDIA,SR,709.7340905994139
ELECTRICITY,2027,SPRING,ALLDAYS,NIGHT,INDIA,NER,27.02072290980027
ELECTRICITY,2028,SUMMER,ALLDAYS,EARLY,INDIA,ER,209.74237153012749
ELECTRICITY,2028,SUMMER,ALLDAYS,EARLY,INDIA,WR,756.7793703871821
