ModelGeography,SubGeography1,SubGeography2,Year,CC+OPC+PPC+PSC+LC3
INDIA,NR,RJ,2040,2.373217026
INDIA,NR,RJ,2041,2.580303131
INDIA,NR,UP,2022,0.1830325
INDIA,NR,UP,2023,0.193431118
INDIA,NR,UP,2024,0.203854605
INDIA,NR,UP,2025,0.224620526
INDIA,NR,UP,2026,0.247235139
INDIA,NR,UP,2027,0.271801152
INDIA,NR,UP,2028,0.298636019
INDIA,NR,UP,2029,0.328119665
INDIA,NR,UP,2030,0.360513464
INDIA,NR,UP,2031,0.396104572
INDIA,NR,UP,2032,0.434662036
INDIA,NR,UP,2033,0.475785735
INDIA,NR,UP,2034,0.519500844
INDIA,NR,UP,2035,0.565813748
INDIA,NR,UP,2036,0.615193846
INDIA,NR,UP,2037,0.668881948
INDIA,NR,UP,2038,0.727253718
INDIA,NR,UP,2039,0.790717559
INDIA,NR,UP,2040,0.859717465
INDIA,NR,UP,2041,0.934736117
INDIA,WR,GA,2022,0
INDIA,WR,GA,2023,0
INDIA,WR,GA,2024,0
INDIA,WR,GA,2025,0
INDIA,WR,GA,2026,0
INDIA,WR,GA,2027,0
INDIA,WR,GA,2028,0
INDIA,WR,GA,2029,0
INDIA,WR,GA,2030,0
INDIA,WR,GA,2031,0
INDIA,WR,GA,2032,0
INDIA,WR,GA,2033,0
INDIA,WR,GA,2034,0
INDIA,WR,GA,2035,0
INDIA,WR,GA,2036,0
INDIA,WR,GA,2037,0
INDIA,WR,GA,2038,0
INDIA,WR,GA,2039,0
INDIA,WR,GA,2040,0
INDIA,WR,GA,2041,0
INDIA,WR,MH,2022,0.249365966
INDIA,WR,MH,2023,0.263533184
INDIA,WR,MH,2024,0.277734285
INDIA,WR,MH,2025,0.306026057
INDIA,WR,MH,2026,0.336836514
INDIA,WR,MH,2027,0.370305584
INDIA,WR,MH,2028,0.406865771
INDIA,WR,MH,2029,0.44703469
INDIA,WR,MH,2030,0.491168442
INDIA,WR,MH,2031,0.539658252
INDIA,WR,MH,2032,0.592189464
INDIA,WR,MH,2033,0.648216951
INDIA,WR,MH,2034,0.707775009
INDIA,WR,MH,2035,0.77087234
INDIA,WR,MH,2036,0.838148456
INDIA,WR,MH,2037,0.911293855
INDIA,WR,MH,2038,0.990820348
INDIA,WR,MH,2039,1.077284348
INDIA,WR,MH,2040,1.171290758
INDIA,WR,MH,2041,1.273497188
INDIA,WR,GJ,2022,0.264683206
INDIA,WR,GJ,2023,0.279720643
INDIA,WR,GJ,2024,0.294794042
INDIA,WR,GJ,2025,0.32482363
INDIA,WR,GJ,2026,0.35752661
INDIA,WR,GJ,2027,0.393051509
