EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SPRING,ALLDAYS,EVENING,1.93508767
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SUMMER,ALLDAYS,NIGHT,4.431797617
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SUMMER,ALLDAYS,EARLY,2.65907857
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SUMMER,ALLDAYS,MORN,3.157655802
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SUMMER,ALLDAYS,MID,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SUMMER,ALLDAYS,AFTERNOON,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SUMMER,ALLDAYS,EVENING,4.265605207
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,MONSOON,ALLDAYS,NIGHT,4.431797617
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,MONSOON,ALLDAYS,EARLY,2.65907857
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,MONSOON,ALLDAYS,MORN,3.157655802
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,MONSOON,ALLDAYS,MID,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,MONSOON,ALLDAYS,AFTERNOON,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,MONSOON,ALLDAYS,EVENING,4.265605207
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,AUTUMN,ALLDAYS,NIGHT,4.431797617
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,AUTUMN,ALLDAYS,EARLY,2.65907857
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,AUTUMN,ALLDAYS,MORN,3.157655802
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,AUTUMN,ALLDAYS,MID,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,AUTUMN,ALLDAYS,AFTERNOON,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,AUTUMN,ALLDAYS,EVENING,4.265605207
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,WINTER,ALLDAYS,NIGHT,4.431797617
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,WINTER,ALLDAYS,EARLY,2.65907857
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,WINTER,ALLDAYS,MORN,3.157655802
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,WINTER,ALLDAYS,MID,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,WINTER,ALLDAYS,AFTERNOON,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,WINTER,ALLDAYS,EVENING,4.265605207
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SPRING,ALLDAYS,NIGHT,4.431797617
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SPRING,ALLDAYS,EARLY,2.65907857
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SPRING,ALLDAYS,MORN,3.157655802
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SPRING,ALLDAYS,MID,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SPRING,ALLDAYS,AFTERNOON,3.323848213
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,PB,2020,SPRING,ALLDAYS,EVENING,4.265605207
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SUMMER,ALLDAYS,NIGHT,4.663004202
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SUMMER,ALLDAYS,EARLY,2.797802521
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SUMMER,ALLDAYS,MORN,3.322390494
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SUMMER,ALLDAYS,MID,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SUMMER,ALLDAYS,AFTERNOON,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SUMMER,ALLDAYS,EVENING,4.488141545
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,MONSOON,ALLDAYS,NIGHT,4.663004202
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,MONSOON,ALLDAYS,EARLY,2.797802521
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,MONSOON,ALLDAYS,MORN,3.322390494
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,MONSOON,ALLDAYS,MID,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,MONSOON,ALLDAYS,AFTERNOON,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,MONSOON,ALLDAYS,EVENING,4.488141545
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,AUTUMN,ALLDAYS,NIGHT,4.663004202
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,AUTUMN,ALLDAYS,EARLY,2.797802521
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,AUTUMN,ALLDAYS,MORN,3.322390494
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,AUTUMN,ALLDAYS,MID,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,AUTUMN,ALLDAYS,AFTERNOON,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,AUTUMN,ALLDAYS,EVENING,4.488141545
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,WINTER,ALLDAYS,NIGHT,4.663004202
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,WINTER,ALLDAYS,EARLY,2.797802521
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,WINTER,ALLDAYS,MORN,3.322390494
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,WINTER,ALLDAYS,MID,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,WINTER,ALLDAYS,AFTERNOON,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,WINTER,ALLDAYS,EVENING,4.488141545
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SPRING,ALLDAYS,NIGHT,4.663004202
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SPRING,ALLDAYS,EARLY,2.797802521
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SPRING,ALLDAYS,MORN,3.322390494
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SPRING,ALLDAYS,MID,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SPRING,ALLDAYS,AFTERNOON,3.497253152
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,RJ,2020,SPRING,ALLDAYS,EVENING,4.488141545
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SUMMER,ALLDAYS,NIGHT,7.877536101
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SUMMER,ALLDAYS,EARLY,4.72652166
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SUMMER,ALLDAYS,MORN,5.612744472
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SUMMER,ALLDAYS,MID,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SUMMER,ALLDAYS,AFTERNOON,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SUMMER,ALLDAYS,EVENING,7.582128497
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,MONSOON,ALLDAYS,NIGHT,7.877536101
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,MONSOON,ALLDAYS,EARLY,4.72652166
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,MONSOON,ALLDAYS,MORN,5.612744472
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,MONSOON,ALLDAYS,MID,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,MONSOON,ALLDAYS,AFTERNOON,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,MONSOON,ALLDAYS,EVENING,7.582128497
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,AUTUMN,ALLDAYS,NIGHT,7.877536101
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,AUTUMN,ALLDAYS,EARLY,4.72652166
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,AUTUMN,ALLDAYS,MORN,5.612744472
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,AUTUMN,ALLDAYS,MID,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,AUTUMN,ALLDAYS,AFTERNOON,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,AUTUMN,ALLDAYS,EVENING,7.582128497
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,WINTER,ALLDAYS,NIGHT,7.877536101
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,WINTER,ALLDAYS,EARLY,4.72652166
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,WINTER,ALLDAYS,MORN,5.612744472
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,WINTER,ALLDAYS,MID,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,WINTER,ALLDAYS,AFTERNOON,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,WINTER,ALLDAYS,EVENING,7.582128497
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SPRING,ALLDAYS,NIGHT,7.877536101
