ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,EfficiencyLevelName,EfficiencySplitShare
FR_DIRECTCOOL,URBAN,INDIA,WR,CG,2024,2STARDC,0.196714344
FR_DIRECTCOOL,URBAN,INDIA,WR,CG,2024,3STARDC,0.6
FR_DIRECTCOOL,URBAN,INDIA,WR,CG,2024,4STARDC,0.203285656
FR_FROSTFREE,URBAN,INDIA,WR,CG,2024,2STARFF,0.195583391
FR_FROSTFREE,URBAN,INDIA,WR,CG,2024,3STARFF,0.6
FR_FROSTFREE,URBAN,INDIA,WR,CG,2024,4STARFF,0.204416609
LIGHT_ELEC,URBAN,INDIA,NR,DL,2024,INCAND,0.025227024
LIGHT_ELEC,URBAN,INDIA,NR,DL,2024,LED,0.974772976
AC,URBAN,INDIA,NR,DL,2024,3STARAC,0.460467919
AC,URBAN,INDIA,NR,DL,2024,4STARAC,0.35
AC,URBAN,INDIA,NR,DL,2024,5STARAC,0.189532081
FR_DIRECTCOOL,URBAN,INDIA,NR,DL,2024,2STARDC,0.197056547
FR_DIRECTCOOL,URBAN,INDIA,NR,DL,2024,3STARDC,0.6
FR_DIRECTCOOL,URBAN,INDIA,NR,DL,2024,4STARDC,0.202943453
FR_FROSTFREE,URBAN,INDIA,NR,DL,2024,2STARFF,0.195991363
FR_FROSTFREE,URBAN,INDIA,NR,DL,2024,3STARFF,0.6
FR_FROSTFREE,URBAN,INDIA,NR,DL,2024,4STARFF,0.204008637
LIGHT_ELEC,URBAN,INDIA,WR,GA,2024,INCAND,0.024391649
LIGHT_ELEC,URBAN,INDIA,WR,GA,2024,LED,0.975608351
AC,URBAN,INDIA,WR,GA,2024,3STARAC,0.462039811
AC,URBAN,INDIA,WR,GA,2024,4STARAC,0.35
AC,URBAN,INDIA,WR,GA,2024,5STARAC,0.187960189
FR_DIRECTCOOL,URBAN,INDIA,WR,GA,2024,2STARDC,0.197144719
FR_DIRECTCOOL,URBAN,INDIA,WR,GA,2024,3STARDC,0.6
FR_DIRECTCOOL,URBAN,INDIA,WR,GA,2024,4STARDC,0.202855281
FR_FROSTFREE,URBAN,INDIA,WR,GA,2024,2STARFF,0.19611801
FR_FROSTFREE,URBAN,INDIA,WR,GA,2024,3STARFF,0.6
FR_FROSTFREE,URBAN,INDIA,WR,GA,2024,4STARFF,0.20388199
LIGHT_ELEC,URBAN,INDIA,WR,GJ,2024,INCAND,0.02559915
LIGHT_ELEC,URBAN,INDIA,WR,GJ,2024,LED,0.97440085
AC,URBAN,INDIA,WR,GJ,2024,3STARAC,0.459014495
AC,URBAN,INDIA,WR,GJ,2024,4STARAC,0.35
AC,URBAN,INDIA,WR,GJ,2024,5STARAC,0.190985505
FR_DIRECTCOOL,URBAN,INDIA,WR,GJ,2024,2STARDC,0.196559444
FR_DIRECTCOOL,URBAN,INDIA,WR,GJ,2024,3STARDC,0.6
