ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2031,2.641820675
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NER,NE,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2021,2.444308284
