Year,ModelGeography,SubGeography1,SubGeography2,OPC+PPC+PSC+CC+LC3
2039,INDIA,NR,RJ,23.30970767
2040,INDIA,NR,RJ,23.97650571
2041,INDIA,NR,RJ,24.66406328
2022,INDIA,NR,UP,4.941877505
2023,INDIA,NR,UP,5.222640091
2024,INDIA,NR,UP,5.504074344
2025,INDIA,NR,UP,5.673410188
2026,INDIA,NR,UP,5.847577682
2027,INDIA,NR,UP,6.02256906
2028,INDIA,NR,UP,6.199419234
2029,INDIA,NR,UP,6.38118608
2030,INDIA,NR,UP,6.567990524
2031,INDIA,NR,UP,6.759967525
2032,INDIA,NR,UP,6.952989971
2033,INDIA,NR,UP,7.148124588
2034,INDIA,NR,UP,7.348554738
2035,INDIA,NR,UP,7.554345334
2036,INDIA,NR,UP,7.76570413
2037,INDIA,NR,UP,7.98276079
2038,INDIA,NR,UP,8.209891372
2039,INDIA,NR,UP,8.44413409
2040,INDIA,NR,UP,8.685687188
2041,INDIA,NR,UP,8.934760597
2022,INDIA,WR,GA,0
2023,INDIA,WR,GA,0
2024,INDIA,WR,GA,0
2025,INDIA,WR,GA,0
2026,INDIA,WR,GA,0
2027,INDIA,WR,GA,0
2028,INDIA,WR,GA,0
2029,INDIA,WR,GA,0
2030,INDIA,WR,GA,0
2031,INDIA,WR,GA,0
2032,INDIA,WR,GA,0
2033,INDIA,WR,GA,0
2034,INDIA,WR,GA,0
2035,INDIA,WR,GA,0
2036,INDIA,WR,GA,0
2037,INDIA,WR,GA,0
2038,INDIA,WR,GA,0
2039,INDIA,WR,GA,0
2040,INDIA,WR,GA,0
2041,INDIA,WR,GA,0
2022,INDIA,WR,MH,6.73288107
2023,INDIA,WR,MH,7.115395833
2024,INDIA,WR,MH,7.498825683
2025,INDIA,WR,MH,7.729531138
2026,INDIA,WR,MH,7.966819299
2027,INDIA,WR,MH,8.20522993
2028,INDIA,WR,MH,8.446173011
2029,INDIA,WR,MH,8.693814632
2030,INDIA,WR,MH,8.948319545
2031,INDIA,WR,MH,9.20987162
2032,INDIA,WR,MH,9.472848024
2033,INDIA,WR,MH,9.738702078
2034,INDIA,WR,MH,10.01177084
2035,INDIA,WR,MH,10.29214274
2036,INDIA,WR,MH,10.58010084
2037,INDIA,WR,MH,10.87582178
2038,INDIA,WR,MH,11.18526757
2039,INDIA,WR,MH,11.50440303
2040,INDIA,WR,MH,11.83349826
2041,INDIA,WR,MH,12.17283926
2022,INDIA,WR,GJ,7.146446562
2023,INDIA,WR,GJ,7.552457196
2024,INDIA,WR,GJ,7.959439127
2025,INDIA,WR,GJ,8.204315605
2026,INDIA,WR,GJ,8.45617913
2027,INDIA,WR,GJ,8.709234073
2028,INDIA,WR,GJ,8.964977021
2029,INDIA,WR,GJ,9.227829964
2030,INDIA,WR,GJ,9.497967777
2031,INDIA,WR,GJ,9.775585621
2032,INDIA,WR,GJ,10.05471528
2033,INDIA,WR,GJ,10.33689935
2034,INDIA,WR,GJ,10.62674129
2035,INDIA,WR,GJ,10.92433497
2036,INDIA,WR,GJ,11.22998082
2037,INDIA,WR,GJ,11.54386634
2038,INDIA,WR,GJ,11.87231976
2039,INDIA,WR,GJ,12.21105804
2040,INDIA,WR,GJ,12.56036785
2041,INDIA,WR,GJ,12.92055278
2022,INDIA,WR,MP,7.304389619
2023,INDIA,WR,MP,7.719373462
2024,INDIA,WR,MP,8.135350068
2025,INDIA,WR,MP,8.385638542
2026,INDIA,WR,MP,8.643068484
2027,INDIA,WR,MP,8.901716174
2028,INDIA,WR,MP,9.163111277
2029,INDIA,WR,MP,9.431773513
2030,INDIA,WR,MP,9.70788162
2031,INDIA,WR,MP,9.991635074
2032,INDIA,WR,MP,10.27693376
2033,INDIA,WR,MP,10.56535436
2034,INDIA,WR,MP,10.86160207
2035,INDIA,WR,MP,11.16577284
2036,INDIA,WR,MP,11.47817374
2037,INDIA,WR,MP,11.79899643
2038,INDIA,WR,MP,12.13470897
2039,INDIA,WR,MP,12.48093368
2040,INDIA,WR,MP,12.83796356
2041,INDIA,WR,MP,13.20610891
2022,INDIA,WR,CG,4.602515457
2023,INDIA,WR,CG,4.863997887
2024,INDIA,WR,CG,5.126105861
2025,INDIA,WR,CG,5.283813298
2026,INDIA,WR,CG,5.446020594
2027,INDIA,WR,CG,5.608995196
2028,INDIA,WR,CG,5.77370095
2029,INDIA,WR,CG,5.942985744
2030,INDIA,WR,CG,6.116962202
2031,INDIA,WR,CG,6.295756013
2032,INDIA,WR,CG,6.475523478
2033,INDIA,WR,CG,6.65725807
2034,INDIA,WR,CG,6.843924548
2035,INDIA,WR,CG,7.035583364
2036,INDIA,WR,CG,7.23242801
2037,INDIA,WR,CG,7.434579243
2038,INDIA,WR,CG,7.646112616
2039,INDIA,WR,CG,7.864269729
2040,INDIA,WR,CG,8.089235213
2041,INDIA,WR,CG,8.321204584
2022,INDIA,SR,AP,11.75047017
2023,INDIA,SR,AP,12.41804891
2024,INDIA,SR,AP,13.0872247
2025,INDIA,SR,AP,13.4898603
2026,INDIA,SR,AP,13.90398427
2027,INDIA,SR,AP,14.32006722
2028,INDIA,SR,AP,14.74056989
2029,INDIA,SR,AP,15.1727631
2030,INDIA,SR,AP,15.61693438
2031,INDIA,SR,AP,16.07340462
2032,INDIA,SR,AP,16.53236065
2033,INDIA,SR,AP,16.99633887
2034,INDIA,SR,AP,17.47290845
2035,INDIA,SR,AP,17.96222374
2036,INDIA,SR,AP,18.46477874
2037,INDIA,SR,AP,18.98088174
2038,INDIA,SR,AP,19.52093785
2039,INDIA,SR,AP,20.07790472
2040,INDIA,SR,AP,20.65225374
2041,INDIA,SR,AP,21.24448405
2022,INDIA,SR,KA,8.56224539
2023,INDIA,SR,KA,9.048691717
2024,INDIA,SR,KA,9.536301766
2025,INDIA,SR,KA,9.829691281
2026,INDIA,SR,KA,10.13145206
2027,INDIA,SR,KA,10.4346403
2028,INDIA,SR,KA,10.74104907
2029,INDIA,SR,KA,11.05597641
2030,INDIA,SR,KA,11.37963184
2031,INDIA,SR,KA,11.71224918
2032,INDIA,SR,KA,12.04667786
2033,INDIA,SR,KA,12.38476606
2034,INDIA,SR,KA,12.73202925
2035,INDIA,SR,KA,13.08857989
2036,INDIA,SR,KA,13.45477793
2037,INDIA,SR,KA,13.83084803
2038,INDIA,SR,KA,14.22437211
2039,INDIA,SR,KA,14.6302186
2040,INDIA,SR,KA,15.04873097
2041,INDIA,SR,KA,15.48027296
2022,INDIA,SR,KL,0.151562922
2023,INDIA,SR,KL,0.160173657
2024,INDIA,SR,KL,0.168804992
2025,INDIA,SR,KL,0.173998369
2026,INDIA,SR,KL,0.179339929
2027,INDIA,SR,KL,0.184706757
2028,INDIA,SR,KL,0.190130592
2029,INDIA,SR,KL,0.195705217
