Year,ModelGeography,SubGeography1,SubGeography2,PSC+OPC+PPC+CC+LC3
2030,INDIA,ER,BR,0.697633364
2031,INDIA,ER,BR,0.728358662
2032,INDIA,ER,BR,0.759938134
2033,INDIA,ER,BR,0.792509914
2034,INDIA,ER,BR,0.826457412
2035,INDIA,ER,BR,0.861829458
2036,INDIA,ER,BR,0.898692869
2037,INDIA,ER,BR,0.937107743
2038,INDIA,ER,BR,0.977641833
2039,INDIA,ER,BR,1.020007681
2040,INDIA,ER,BR,1.064286272
2041,INDIA,ER,BR,1.110562875
2022,INDIA,NER,NE,0.710207161
2023,INDIA,NER,NE,0.750556117
2024,INDIA,NER,NE,0.7910016
2025,INDIA,NER,NE,0.827071793
2026,INDIA,NER,NE,0.864730905
2027,INDIA,NER,NE,0.90342629
2028,INDIA,NER,NE,0.943339234
2029,INDIA,NER,NE,0.98497284
2030,INDIA,NER,NE,1.028398226
2031,INDIA,NER,NE,1.073691132
2032,INDIA,NER,NE,1.120243195
2033,INDIA,NER,NE,1.168258044
2034,INDIA,NER,NE,1.218300873
2035,INDIA,NER,NE,1.270443662
2036,INDIA,NER,NE,1.324784908
2037,INDIA,NER,NE,1.381413203
2038,INDIA,NER,NE,1.441165487
2039,INDIA,NER,NE,1.503618009
2040,INDIA,NER,NE,1.568890152
2041,INDIA,NER,NE,1.637107612
2022,INDIA,NER,AS,0
2023,INDIA,NER,AS,0
2024,INDIA,NER,AS,0
2025,INDIA,NER,AS,0
2026,INDIA,NER,AS,0
2027,INDIA,NER,AS,0
2028,INDIA,NER,AS,0
2029,INDIA,NER,AS,0
2030,INDIA,NER,AS,0
2031,INDIA,NER,AS,0
2032,INDIA,NER,AS,0
2033,INDIA,NER,AS,0
2034,INDIA,NER,AS,0
2035,INDIA,NER,AS,0
2036,INDIA,NER,AS,0
2037,INDIA,NER,AS,0
2038,INDIA,NER,AS,0
2039,INDIA,NER,AS,0
2040,INDIA,NER,AS,0
2041,INDIA,NER,AS,0
