Year,ModelGeography,SubGeography1,SubGeography2,CC+OPC+PPC+PSC+LC3
2023,INDIA,ER,WB,0.167514914
2024,INDIA,ER,WB,0.176541849
2025,INDIA,ER,WB,0.188433271
2026,INDIA,ER,WB,0.201112667
2027,INDIA,ER,WB,0.214484166
2028,INDIA,ER,WB,0.228620134
2029,INDIA,ER,WB,0.243677203
2030,INDIA,ER,WB,0.259714401
2031,INDIA,ER,WB,0.276794939
2032,INDIA,ER,WB,0.294805215
2033,INDIA,ER,WB,0.313838121
2034,INDIA,ER,WB,0.334091585
2035,INDIA,ER,WB,0.355639884
2036,INDIA,ER,WB,0.378568512
2037,INDIA,ER,WB,0.402964498
2038,INDIA,ER,WB,0.429142081
2039,INDIA,ER,WB,0.457055391
2040,INDIA,ER,WB,0.48681945
2041,INDIA,ER,WB,0.518557213
2022,INDIA,ER,SK,0
2023,INDIA,ER,SK,0
2024,INDIA,ER,SK,0
2025,INDIA,ER,SK,0
2026,INDIA,ER,SK,0
2027,INDIA,ER,SK,0
2028,INDIA,ER,SK,0
2029,INDIA,ER,SK,0
2030,INDIA,ER,SK,0
2031,INDIA,ER,SK,0
2032,INDIA,ER,SK,0
2033,INDIA,ER,SK,0
2034,INDIA,ER,SK,0
2035,INDIA,ER,SK,0
2036,INDIA,ER,SK,0
2037,INDIA,ER,SK,0
2038,INDIA,ER,SK,0
2039,INDIA,ER,SK,0
2040,INDIA,ER,SK,0
2041,INDIA,ER,SK,0
2022,INDIA,ER,BR,0.068826063
2023,INDIA,ER,BR,0.072736274
2024,INDIA,ER,BR,0.07665584
2025,INDIA,ER,BR,0.081819187
2026,INDIA,ER,BR,0.087324679
2027,INDIA,ER,BR,0.093130688
2028,INDIA,ER,BR,0.099268635
2029,INDIA,ER,BR,0.105806531
2030,INDIA,ER,BR,0.112770006
2031,INDIA,ER,BR,0.120186509
2032,INDIA,ER,BR,0.12800671
2033,INDIA,ER,BR,0.136270945
2034,INDIA,ER,BR,0.145065156
2035,INDIA,ER,BR,0.154421595
2036,INDIA,ER,BR,0.164377383
2037,INDIA,ER,BR,0.174970309
2038,INDIA,ER,BR,0.186336819
2039,INDIA,ER,BR,0.198456994
2040,INDIA,ER,BR,0.21138078
2041,INDIA,ER,BR,0.225161562
2022,INDIA,NER,NE,0.101458166
2023,INDIA,NER,NE,0.107222302
2024,INDIA,NER,NE,0.113000229
2025,INDIA,NER,NE,0.120611644
2026,INDIA,NER,NE,0.128727423
2027,INDIA,NER,NE,0.137286201
2028,INDIA,NER,NE,0.146334297
2029,INDIA,NER,NE,0.155971968
2030,INDIA,NER,NE,0.166236996
2031,INDIA,NER,NE,0.177169841
2032,INDIA,NER,NE,0.188697789
2033,INDIA,NER,NE,0.200880298
2034,INDIA,NER,NE,0.213844058
2035,INDIA,NER,NE,0.22763661
2036,INDIA,NER,NE,0.242312679
2037,INDIA,NER,NE,0.257927968
2038,INDIA,NER,NE,0.274683615
2039,INDIA,NER,NE,0.292550259
2040,INDIA,NER,NE,0.311601523
2041,INDIA,NER,NE,0.331916109
2022,INDIA,NER,AS,0
2023,INDIA,NER,AS,0
2024,INDIA,NER,AS,0
2025,INDIA,NER,AS,0
2026,INDIA,NER,AS,0
2027,INDIA,NER,AS,0
2028,INDIA,NER,AS,0
2029,INDIA,NER,AS,0
2030,INDIA,NER,AS,0
2031,INDIA,NER,AS,0
2032,INDIA,NER,AS,0
2033,INDIA,NER,AS,0
2034,INDIA,NER,AS,0
2035,INDIA,NER,AS,0
2036,INDIA,NER,AS,0
2037,INDIA,NER,AS,0
2038,INDIA,NER,AS,0
2039,INDIA,NER,AS,0
2040,INDIA,NER,AS,0
2041,INDIA,NER,AS,0
