ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,COOKSTOVE_MOD
URBAN,INDIA,SR,TN,2029,2297.311763
URBAN,INDIA,ER,BR,2029,3172.457074
URBAN,INDIA,ER,JH,2029,2603.598975
URBAN,INDIA,ER,OD,2029,2903.904274
URBAN,INDIA,ER,WB,2029,2774.88835
URBAN,INDIA,NER,AS,2029,3012.745114
URBAN,INDIA,ER,SK,2029,2088.693789
URBAN,INDIA,NER,NE,2029,2845.566976
RURAL,INDIA,NR,DL,2030,2482.225657
RURAL,INDIA,NR,HR,2030,3537.952478
RURAL,INDIA,NR,HP,2030,3397.043187
RURAL,INDIA,NR,JK,2030,3587.954964
RURAL,INDIA,NR,PB,2030,3159.188298
RURAL,INDIA,NR,RJ,2030,3951.755149
RURAL,INDIA,NR,UP,2030,3621.719984
RURAL,INDIA,NR,UK,2030,3743.567786
RURAL,INDIA,WR,CG,2030,3496.41085
RURAL,INDIA,WR,GJ,2030,3489.57316
RURAL,INDIA,WR,MP,2030,3451.89103
RURAL,INDIA,WR,MH,2030,3472.437003
RURAL,INDIA,WR,GA,2030,3142.835563
RURAL,INDIA,SR,AP,2030,2415.57441
RURAL,INDIA,SR,TS,2030,2731.286509
RURAL,INDIA,SR,KA,2030,2975.753477
RURAL,INDIA,SR,KL,2030,2856.836908
RURAL,INDIA,SR,TN,2030,2931.225902
RURAL,INDIA,ER,BR,2030,3927.61641
RURAL,INDIA,ER,JH,2030,3426.520794
RURAL,INDIA,ER,OD,2030,2770.481568
RURAL,INDIA,ER,WB,2030,2474.356433
RURAL,INDIA,NER,AS,2030,3187.630141
RURAL,INDIA,ER,SK,2030,3093.037037
RURAL,INDIA,NER,NE,2030,3304.801658
URBAN,INDIA,NR,DL,2030,3023.006961
URBAN,INDIA,NR,HR,2030,3164.371896
URBAN,INDIA,NR,HP,2030,1701.567489
URBAN,INDIA,NR,JK,2030,2685.247955
URBAN,INDIA,NR,PB,2030,3111.4783
URBAN,INDIA,NR,RJ,2030,3124.866507
URBAN,INDIA,NR,UP,2030,3180.549376
URBAN,INDIA,NR,UK,2030,3150.379799
URBAN,INDIA,WR,CG,2030,3193.062954
URBAN,INDIA,WR,GJ,2030,3006.396616
URBAN,INDIA,WR,MP,2030,3444.309313
URBAN,INDIA,WR,MH,2030,2634.635721
URBAN,INDIA,WR,GA,2030,3120.87692
URBAN,INDIA,SR,AP,2030,2224.636276
URBAN,INDIA,SR,TS,2030,2199.681606
URBAN,INDIA,SR,KA,2030,2794.194466
URBAN,INDIA,SR,KL,2030,2917.803522
URBAN,INDIA,SR,TN,2030,2271.949702
URBAN,INDIA,ER,BR,2030,3134.857086
URBAN,INDIA,ER,JH,2030,2546.968925
URBAN,INDIA,ER,OD,2030,2903.904549
URBAN,INDIA,ER,WB,2030,2756.541501
URBAN,INDIA,NER,AS,2030,3012.745529
URBAN,INDIA,ER,SK,2030,2061.134805
URBAN,INDIA,NER,NE,2030,2805.116597
RURAL,INDIA,NR,DL,2031,2415.037594
RURAL,INDIA,NR,HR,2031,3503.670489
RURAL,INDIA,NR,HP,2031,3397.041946
RURAL,INDIA,NR,JK,2031,3546.110243
RURAL,INDIA,NR,PB,2031,3119.956705
RURAL,INDIA,NR,RJ,2031,3937.906528
RURAL,INDIA,NR,UP,2031,3574.229109
RURAL,INDIA,NR,UK,2031,3743.567804
RURAL,INDIA,WR,CG,2031,3480.047126
RURAL,INDIA,WR,GJ,2031,3458.047541
RURAL,INDIA,WR,MP,2031,3422.410175
RURAL,INDIA,WR,MH,2031,3460.170198
RURAL,INDIA,WR,GA,2031,3129.186259
RURAL,INDIA,SR,AP,2031,2385.506318
RURAL,INDIA,SR,TS,2031,2716.848313
RURAL,INDIA,SR,KA,2031,2936.530925
RURAL,INDIA,SR,KL,2031,2836.034916
RURAL,INDIA,SR,TN,2031,2930.94801
RURAL,INDIA,ER,BR,2031,3913.199483
RURAL,INDIA,ER,JH,2031,3387.160655
RURAL,INDIA,ER,OD,2031,2740.392563
RURAL,INDIA,ER,WB,2031,2424.566595
RURAL,INDIA,NER,AS,2031,3133.48268
RURAL,INDIA,ER,SK,2031,3073.774715
RURAL,INDIA,NER,NE,2031,3269.016534
URBAN,INDIA,NR,DL,2031,3006.464424
URBAN,INDIA,NR,HR,2031,3145.566784
URBAN,INDIA,NR,HP,2031,1656.409798
URBAN,INDIA,NR,JK,2031,2629.07508
URBAN,INDIA,NR,PB,2031,3098.326748
URBAN,INDIA,NR,RJ,2031,3090.447617
URBAN,INDIA,NR,UP,2031,3137.856095
URBAN,INDIA,NR,UK,2031,3150.379775
URBAN,INDIA,WR,CG,2031,3168.771999
URBAN,INDIA,WR,GJ,2031,2987.405332
URBAN,INDIA,WR,MP,2031,3437.520229
URBAN,INDIA,WR,MH,2031,2593.171014
URBAN,INDIA,WR,GA,2031,3120.879498
URBAN,INDIA,SR,AP,2031,2195.416379
URBAN,INDIA,SR,TS,2031,2169.349745
URBAN,INDIA,SR,KA,2031,2789.92872
URBAN,INDIA,SR,KL,2031,2907.643413
URBAN,INDIA,SR,TN,2031,2246.867743
URBAN,INDIA,ER,BR,2031,3097.703324
URBAN,INDIA,ER,JH,2031,2491.571005
URBAN,INDIA,ER,OD,2031,2903.904304
URBAN,INDIA,ER,WB,2031,2738.315886
URBAN,INDIA,NER,AS,2031,3012.746055
URBAN,INDIA,ER,SK,2031,2033.934701
URBAN,INDIA,NER,NE,2031,2765.241914
RURAL,INDIA,NR,DL,2032,0
RURAL,INDIA,NR,HR,2032,3469.721201
RURAL,INDIA,NR,HP,2032,3397.043469
RURAL,INDIA,NR,JK,2032,3504.753322
RURAL,INDIA,NR,PB,2032,3081.212674
RURAL,INDIA,NR,RJ,2032,3924.10626
RURAL,INDIA,NR,UP,2032,3527.360883
RURAL,INDIA,NR,UK,2032,3743.567804
RURAL,INDIA,WR,CG,2032,3463.760295
RURAL,INDIA,WR,GJ,2032,3426.806246
RURAL,INDIA,WR,MP,2032,3393.18119
RURAL,INDIA,WR,MH,2032,3447.946825
RURAL,INDIA,WR,GA,2032,3115.563571
RURAL,INDIA,SR,AP,2032,2355.812398
RURAL,INDIA,SR,TS,2032,2702.487074
RURAL,INDIA,SR,KA,2032,2897.825317
RURAL,INDIA,SR,KL,2032,2815.383578
RURAL,INDIA,SR,TN,2032,2930.669947
RURAL,INDIA,ER,BR,2032,3898.835413
RURAL,INDIA,ER,JH,2032,3348.25283
RURAL,INDIA,ER,OD,2032,2710.630156
RURAL,INDIA,ER,WB,2032,2375.778546
RURAL,INDIA,NER,AS,2032,3080.255484
RURAL,INDIA,ER,SK,2032,3054.63693
RURAL,INDIA,NER,NE,2032,3233.617402
URBAN,INDIA,NR,DL,2032,2990.012498
URBAN,INDIA,NR,HR,2032,3126.872691
URBAN,INDIA,NR,HP,2032,1612.453787
URBAN,INDIA,NR,JK,2032,2574.076062
URBAN,INDIA,NR,PB,2032,3085.230136
URBAN,INDIA,NR,RJ,2032,3056.40798
URBAN,INDIA,NR,UP,2032,3095.735706
URBAN,INDIA,NR,UK,2032,3150.380564
URBAN,INDIA,WR,CG,2032,3144.664397
URBAN,INDIA,WR,GJ,2032,2968.534063
URBAN,INDIA,WR,MP,2032,3430.744513
URBAN,INDIA,WR,MH,2032,2552.359083
URBAN,INDIA,WR,GA,2032,3120.881997
URBAN,INDIA,SR,AP,2032,2166.580249
URBAN,INDIA,SR,TS,2032,2139.435924
URBAN,INDIA,SR,KA,2032,2785.669371
URBAN,INDIA,SR,KL,2032,2897.518703
URBAN,INDIA,SR,TN,2032,2222.062654
URBAN,INDIA,ER,BR,2032,3060.990047
URBAN,INDIA,ER,JH,2032,2437.377325
URBAN,INDIA,ER,OD,2032,2903.904974
URBAN,INDIA,ER,WB,2032,2720.210865
URBAN,INDIA,NER,AS,2032,3012.745375
URBAN,INDIA,ER,SK,2032,2007.100628
URBAN,INDIA,NER,NE,2032,2725.932985
RURAL,INDIA,NR,DL,2033,0
RURAL,INDIA,NR,HR,2033,3436.10084
RURAL,INDIA,NR,HP,2033,3397.042605
RURAL,INDIA,NR,JK,2033,3463.87845
RURAL,INDIA,NR,PB,2033,3042.950202
RURAL,INDIA,NR,RJ,2033,3910.354442
RURAL,INDIA,NR,UP,2033,3481.107301
RURAL,INDIA,NR,UK,2033,3743.567786
RURAL,INDIA,WR,CG,2033,3447.54996
RURAL,INDIA,WR,GJ,2033,3395.847413
RURAL,INDIA,WR,MP,2033,3364.201732
RURAL,INDIA,WR,MH,2033,3435.766564
RURAL,INDIA,WR,GA,2033,3102.019315
RURAL,INDIA,SR,AP,2033,2326.488179
RURAL,INDIA,SR,TS,2033,2688.201491
RURAL,INDIA,SR,KA,2033,2859.630064
RURAL,INDIA,SR,KL,2033,2794.881573
RURAL,INDIA,SR,TN,2033,2930.391696
RURAL,INDIA,ER,BR,2033,3884.524265
RURAL,INDIA,ER,JH,2033,3309.791579
RURAL,INDIA,ER,OD,2033,2681.191379
RURAL,INDIA,ER,WB,2033,2327.972311
RURAL,INDIA,NER,AS,2033,3027.931976
RURAL,INDIA,ER,SK,2033,3035.599382
RURAL,INDIA,NER,NE,2033,3198.602546
URBAN,INDIA,NR,DL,2033,2973.650981
URBAN,INDIA,NR,HR,2033,3108.290141
URBAN,INDIA,NR,HP,2033,1569.66467
URBAN,INDIA,NR,JK,2033,2520.228195
URBAN,INDIA,NR,PB,2033,3072.189031
URBAN,INDIA,NR,RJ,2033,3022.743097
URBAN,INDIA,NR,UP,2033,3054.180779
URBAN,INDIA,NR,UK,2033,3150.38159
URBAN,INDIA,WR,CG,2033,3120.741472
URBAN,INDIA,WR,GJ,2033,2949.781911
URBAN,INDIA,WR,MP,2033,3423.98185
URBAN,INDIA,WR,MH,2033,2512.189275
URBAN,INDIA,WR,GA,2033,3120.881834
URBAN,INDIA,SR,AP,2033,2138.123069
URBAN,INDIA,SR,TS,2033,2109.934436
URBAN,INDIA,SR,KA,2033,2781.416438
URBAN,INDIA,SR,KL,2033,2887.429281
URBAN,INDIA,SR,TN,2033,2197.531337
URBAN,INDIA,ER,BR,2033,3024.711399
URBAN,INDIA,ER,JH,2033,2384.362759
URBAN,INDIA,ER,OD,2033,2903.904475
URBAN,INDIA,ER,WB,2033,2702.225398
URBAN,INDIA,NER,AS,2033,3012.746223
URBAN,INDIA,ER,SK,2033,1980.617407
URBAN,INDIA,NER,NE,2033,2687.184509
RURAL,INDIA,NR,DL,2034,2224.376731
RURAL,INDIA,NR,HR,2034,3402.805671
RURAL,INDIA,NR,HP,2034,3397.043026
RURAL,INDIA,NR,JK,2034,3423.480744
RURAL,INDIA,NR,PB,2034,3005.162354
RURAL,INDIA,NR,RJ,2034,3896.650893
RURAL,INDIA,NR,UP,2034,3435.460307
RURAL,INDIA,NR,UK,2034,3743.568923
RURAL,INDIA,WR,CG,2034,3431.415607
RURAL,INDIA,WR,GJ,2034,3365.16852
RURAL,INDIA,WR,MP,2034,3335.469726
RURAL,INDIA,WR,MH,2034,3423.629286
RURAL,INDIA,WR,GA,2034,3088.565741
RURAL,INDIA,SR,AP,2034,2297.528826
RURAL,INDIA,SR,TS,2034,2673.991098
RURAL,INDIA,SR,KA,2034,2821.938061
RURAL,INDIA,SR,KL,2034,2774.531752
RURAL,INDIA,SR,TN,2034,2930.113685
RURAL,INDIA,ER,BR,2034,3870.265529
RURAL,INDIA,ER,JH,2034,3271.772571
RURAL,INDIA,ER,OD,2034,2652.072126
RURAL,INDIA,ER,WB,2034,2281.12808
RURAL,INDIA,NER,AS,2034,2976.49764
RURAL,INDIA,ER,SK,2034,3016.651437
RURAL,INDIA,NER,NE,2034,3163.966607
URBAN,INDIA,NR,DL,2034,2957.37833
URBAN,INDIA,NR,HR,2034,3089.818427
URBAN,INDIA,NR,HP,2034,1528.009926
URBAN,INDIA,NR,JK,2034,2467.506866
URBAN,INDIA,NR,PB,2034,3059.203176
URBAN,INDIA,NR,RJ,2034,2989.449316
URBAN,INDIA,NR,UP,2034,3013.18368
URBAN,INDIA,NR,UK,2034,3150.379946
URBAN,INDIA,WR,CG,2034,3096.999659
URBAN,INDIA,WR,GJ,2034,2931.148094
URBAN,INDIA,WR,MP,2034,3417.232889
URBAN,INDIA,WR,MH,2034,2472.651728
URBAN,INDIA,WR,GA,2034,3120.881676
URBAN,INDIA,SR,AP,2034,2110.039615
URBAN,INDIA,SR,TS,2034,2080.839979
URBAN,INDIA,SR,KA,2034,2777.170263
URBAN,INDIA,SR,KL,2034,2877.375052
URBAN,INDIA,SR,TN,2034,2173.270894
URBAN,INDIA,ER,BR,2034,2988.863235
URBAN,INDIA,ER,JH,2034,2332.500983
URBAN,INDIA,ER,OD,2034,2903.904532
URBAN,INDIA,ER,WB,2034,2684.358848
URBAN,INDIA,NER,AS,2034,3012.74544
URBAN,INDIA,ER,SK,2034,1954.48687
URBAN,INDIA,NER,NE,2034,2648.985746
RURAL,INDIA,NR,DL,2035,0
