EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DECCostInBT_BA
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,SR,300.71418621652816
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NER,22.450355691330124
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,229.5534986978245
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,575.4435598615861
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,571.8374499367729
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,293.52163880846877
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,21.579571243678338
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,ER,331.7766255839261
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,WR,726.3866108453909
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,NR,926.2424516729575
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,SR,386.93971541042606
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,NER,49.52742384267748
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,ER,523.4604061482302
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,WR,1049.1893421469413
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,NR,1255.1435698911596
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,SR,537.0993651979672
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,NER,35.70864773084967
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,ER,184.3770199340242
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,WR,509.2744168551625
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,NR,459.1761031824741
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,SR,275.9720606736995
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,NER,12.95121981000692
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,ER,211.97892314374738
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,WR,635.6201652013601
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,NR,542.5366045957849
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,SR,336.9209636924265
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,NER,19.311449898698925
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,ER,219.26843274614635
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,WR,679.8366868123508
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,NR,605.4083226187726
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,SR,364.5781377945959
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,NER,22.75942025156428
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,215.9808190361647
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,659.8379137600135
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,593.9838313945239
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,353.38037911742674
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,19.60738912038471
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,ER,329.7114673125327
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,WR,779.7973372405095
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,NR,864.0610314216119
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,SR,430.4526123594928
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,NER,40.085252789533236
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,445.19038246839136
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,1112.8586667699687
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,1165.9345909197305
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,619.7988600778328
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,27.897596262587754
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,ER,155.1849525907684
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,WR,514.3583300859092
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,NR,428.624374809163
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,SR,272.3757396447983
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,NER,13.941860429670736
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,ER,185.2030158455555
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,WR,632.622552271999
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,NR,442.4218274081585
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,SR,340.192227743645
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,NER,13.304264077226742
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,ER,205.8262536714703
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,WR,695.827015289388
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,NR,482.09820523250835
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,SR,377.08121016340823
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,NER,17.27747965884324
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,194.9741860384327
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,670.4338515782931
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,496.6132220136501
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,379.12224861511595
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,13.889552017186828
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,ER,252.52031568085718
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,WR,709.5851439430113
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,NR,506.2396067825889
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,SR,409.34994694996124
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,NER,27.942485262939407
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,ER,333.47196546044006
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,WR,1072.142369957809
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,NR,860.544009218635
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,SR,565.8965496544633
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,NER,21.294469153811562
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,ER,146.73738364420066
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,WR,493.930953928811
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,NR,386.7073547069284
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,SR,272.5394766468763
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,NER,8.14814966091893
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,ER,197.29548383660259
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,WR,631.9892233535775
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,NR,500.5391468830593
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,SR,345.5640218316047
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,NER,13.058994929861111
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,ER,216.55593723892915
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,WR,693.4007092446094
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,NR,552.1035819968569
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,SR,377.7990952831768
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,NER,17.93506137141799
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,213.64727276117745
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,677.7267930149827
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,544.791628990828
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,374.11855391591496
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,15.503781982309803
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,ER,294.94167586993126
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,WR,788.2163198270234
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,NR,583.8946031137741
