EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,TotalSupplyFromTo
COKING_COAL,2031,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2031,,,,INDIA,WR,INDIA,WR,5.136813591345718
COKING_COAL,2031,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2031,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2031,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2031,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2031,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2031,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2031,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,INDIA,SR,1.6630821791453045
COKING_COAL,2031,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2031,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2031,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2031,,,,INDIA,NER,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,INDIA,ER,302.2572381195315
STEAM_COAL,2021,,,,INDIA,ER,INDIA,WR,0.0
STEAM_COAL,2021,,,,INDIA,ER,INDIA,NR,14.45993903220318
STEAM_COAL,2021,,,,INDIA,ER,INDIA,SR,0.0
STEAM_COAL,2021,,,,INDIA,ER,INDIA,NER,2.762822848265305
STEAM_COAL,2021,,,,INDIA,WR,INDIA,ER,0.0
STEAM_COAL,2021,,,,INDIA,WR,INDIA,WR,365.38
STEAM_COAL,2021,,,,INDIA,WR,INDIA,NR,95.6384544538232
STEAM_COAL,2021,,,,INDIA,WR,INDIA,SR,0.0
STEAM_COAL,2021,,,,INDIA,WR,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,NR,INDIA,ER,0.0
STEAM_COAL,2021,,,,INDIA,NR,INDIA,WR,0.0
STEAM_COAL,2021,,,,INDIA,NR,INDIA,NR,27.78
STEAM_COAL,2021,,,,INDIA,NR,INDIA,SR,0.0
STEAM_COAL,2021,,,,INDIA,NR,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,SR,INDIA,ER,0.0
STEAM_COAL,2021,,,,INDIA,SR,INDIA,WR,0.0
STEAM_COAL,2021,,,,INDIA,SR,INDIA,NR,0.0
STEAM_COAL,2021,,,,INDIA,SR,INDIA,SR,214.21241364142955
STEAM_COAL,2021,,,,INDIA,SR,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,NER,INDIA,ER,0.0
STEAM_COAL,2021,,,,INDIA,NER,INDIA,WR,0.0
STEAM_COAL,2021,,,,INDIA,NER,INDIA,NR,0.0
STEAM_COAL,2021,,,,INDIA,NER,INDIA,SR,0.0
STEAM_COAL,2021,,,,INDIA,NER,INDIA,NER,0.42
STEAM_COAL,2022,,,,INDIA,ER,INDIA,ER,319.3124874367676
STEAM_COAL,2022,,,,INDIA,ER,INDIA,WR,0.0
STEAM_COAL,2022,,,,INDIA,ER,INDIA,NR,8.938571221646157
STEAM_COAL,2022,,,,INDIA,ER,INDIA,SR,0.0
STEAM_COAL,2022,,,,INDIA,ER,INDIA,NER,2.7089413415862515
STEAM_COAL,2022,,,,INDIA,WR,INDIA,ER,0.0
STEAM_COAL,2022,,,,INDIA,WR,INDIA,WR,383.0
STEAM_COAL,2022,,,,INDIA,WR,INDIA,NR,101.63106096103391
STEAM_COAL,2022,,,,INDIA,WR,INDIA,SR,0.0
STEAM_COAL,2022,,,,INDIA,WR,INDIA,NER,0.0
STEAM_COAL,2022,,,,INDIA,NR,INDIA,ER,0.0
STEAM_COAL,2022,,,,INDIA,NR,INDIA,WR,0.0
STEAM_COAL,2022,,,,INDIA,NR,INDIA,NR,29.37
STEAM_COAL,2022,,,,INDIA,NR,INDIA,SR,0.0
STEAM_COAL,2022,,,,INDIA,NR,INDIA,NER,0.0
STEAM_COAL,2022,,,,INDIA,SR,INDIA,ER,0.0
STEAM_COAL,2022,,,,INDIA,SR,INDIA,WR,0.0
STEAM_COAL,2022,,,,INDIA,SR,INDIA,NR,0.0
STEAM_COAL,2022,,,,INDIA,SR,INDIA,SR,230.17336786117426
STEAM_COAL,2022,,,,INDIA,SR,INDIA,NER,0.0
STEAM_COAL,2022,,,,INDIA,NER,INDIA,ER,0.0
STEAM_COAL,2022,,,,INDIA,NER,INDIA,WR,0.0
STEAM_COAL,2022,,,,INDIA,NER,INDIA,NR,0.0
STEAM_COAL,2022,,,,INDIA,NER,INDIA,SR,0.0
STEAM_COAL,2022,,,,INDIA,NER,INDIA,NER,0.35
STEAM_COAL,2023,,,,INDIA,ER,INDIA,ER,337.74196908777526
STEAM_COAL,2023,,,,INDIA,ER,INDIA,WR,0.0
STEAM_COAL,2023,,,,INDIA,ER,INDIA,NR,3.1884097645260567
STEAM_COAL,2023,,,,INDIA,ER,INDIA,SR,0.0
STEAM_COAL,2023,,,,INDIA,ER,INDIA,NER,1.9296211476986738
STEAM_COAL,2023,,,,INDIA,WR,INDIA,ER,0.0
STEAM_COAL,2023,,,,INDIA,WR,INDIA,WR,401.46
STEAM_COAL,2023,,,,INDIA,WR,INDIA,NR,78.76096024946585
STEAM_COAL,2023,,,,INDIA,WR,INDIA,SR,0.0
STEAM_COAL,2023,,,,INDIA,WR,INDIA,NER,0.0
STEAM_COAL,2023,,,,INDIA,NR,INDIA,ER,0.0
STEAM_COAL,2023,,,,INDIA,NR,INDIA,WR,0.0
STEAM_COAL,2023,,,,INDIA,NR,INDIA,NR,31.06
STEAM_COAL,2023,,,,INDIA,NR,INDIA,SR,0.0
STEAM_COAL,2023,,,,INDIA,NR,INDIA,NER,0.0
STEAM_COAL,2023,,,,INDIA,SR,INDIA,ER,0.0
STEAM_COAL,2023,,,,INDIA,SR,INDIA,WR,0.0
STEAM_COAL,2023,,,,INDIA,SR,INDIA,NR,0.0
STEAM_COAL,2023,,,,INDIA,SR,INDIA,SR,237.4863934603597
STEAM_COAL,2023,,,,INDIA,SR,INDIA,NER,0.0
STEAM_COAL,2023,,,,INDIA,NER,INDIA,ER,0.0
STEAM_COAL,2023,,,,INDIA,NER,INDIA,WR,0.0
STEAM_COAL,2023,,,,INDIA,NER,INDIA,NR,0.0
STEAM_COAL,2023,,,,INDIA,NER,INDIA,SR,0.0
STEAM_COAL,2023,,,,INDIA,NER,INDIA,NER,0.28
STEAM_COAL,2024,,,,INDIA,ER,INDIA,ER,352.07254034209495
STEAM_COAL,2024,,,,INDIA,ER,INDIA,WR,0.0
STEAM_COAL,2024,,,,INDIA,ER,INDIA,NR,1.7784779814247713
STEAM_COAL,2024,,,,INDIA,ER,INDIA,SR,0.0
STEAM_COAL,2024,,,,INDIA,ER,INDIA,NER,1.3289816764803093
STEAM_COAL,2024,,,,INDIA,WR,INDIA,ER,0.0
STEAM_COAL,2024,,,,INDIA,WR,INDIA,WR,420.82
STEAM_COAL,2024,,,,INDIA,WR,INDIA,NR,60.85389130570947
STEAM_COAL,2024,,,,INDIA,WR,INDIA,SR,0.0
STEAM_COAL,2024,,,,INDIA,WR,INDIA,NER,0.0
STEAM_COAL,2024,,,,INDIA,NR,INDIA,ER,0.0
STEAM_COAL,2024,,,,INDIA,NR,INDIA,WR,0.0
STEAM_COAL,2024,,,,INDIA,NR,INDIA,NR,32.84
STEAM_COAL,2024,,,,INDIA,NR,INDIA,SR,0.0
STEAM_COAL,2024,,,,INDIA,NR,INDIA,NER,0.0
STEAM_COAL,2024,,,,INDIA,SR,INDIA,ER,0.0
STEAM_COAL,2024,,,,INDIA,SR,INDIA,WR,0.0
STEAM_COAL,2024,,,,INDIA,SR,INDIA,NR,0.0
STEAM_COAL,2024,,,,INDIA,SR,INDIA,SR,242.82018915049372
STEAM_COAL,2024,,,,INDIA,SR,INDIA,NER,0.0
STEAM_COAL,2024,,,,INDIA,NER,INDIA,ER,0.0
STEAM_COAL,2024,,,,INDIA,NER,INDIA,WR,0.0
STEAM_COAL,2024,,,,INDIA,NER,INDIA,NR,0.0
STEAM_COAL,2024,,,,INDIA,NER,INDIA,SR,0.0
STEAM_COAL,2024,,,,INDIA,NER,INDIA,NER,0.23
STEAM_COAL,2025,,,,INDIA,ER,INDIA,ER,367.95
STEAM_COAL,2025,,,,INDIA,ER,INDIA,WR,0.0
STEAM_COAL,2025,,,,INDIA,ER,INDIA,NR,0.0
STEAM_COAL,2025,,,,INDIA,ER,INDIA,SR,0.0
STEAM_COAL,2025,,,,INDIA,ER,INDIA,NER,0.6064243996556524
STEAM_COAL,2025,,,,INDIA,WR,INDIA,ER,0.0
STEAM_COAL,2025,,,,INDIA,WR,INDIA,WR,441.11
STEAM_COAL,2025,,,,INDIA,WR,INDIA,NR,51.990703467275054
STEAM_COAL,2025,,,,INDIA,WR,INDIA,SR,0.0
STEAM_COAL,2025,,,,INDIA,WR,INDIA,NER,0.0
STEAM_COAL,2025,,,,INDIA,NR,INDIA,ER,0.0
STEAM_COAL,2025,,,,INDIA,NR,INDIA,WR,0.0
STEAM_COAL,2025,,,,INDIA,NR,INDIA,NR,34.73
STEAM_COAL,2025,,,,INDIA,NR,INDIA,SR,0.0
STEAM_COAL,2025,,,,INDIA,NR,INDIA,NER,0.0
STEAM_COAL,2025,,,,INDIA,SR,INDIA,ER,0.0
STEAM_COAL,2025,,,,INDIA,SR,INDIA,WR,0.0
