ModelGeography,SubGeography1,SubGeography2,Year,IF+EAF+BOF
INDIA,SR,AP,2035,2.035
INDIA,SR,KA,2035,1.206
INDIA,SR,KL,2035,0.433
INDIA,SR,TN,2035,2.647
INDIA,SR,TS,2035,1.949
INDIA,WR,CG,2035,7.631
INDIA,WR,GA,2035,0.542
INDIA,WR,GJ,2035,2.886
INDIA,WR,MH,2035,4.878
INDIA,WR,MP,2035,0.757
INDIA,ER,BR,2036,0.711
INDIA,ER,JH,2036,1.881
INDIA,ER,OD,2036,3.577
INDIA,ER,SK,2036,0
INDIA,ER,WB,2036,5.372
INDIA,NER,AS,2036,0.145
INDIA,NER,NE,2036,0.191
INDIA,NR,DL,2036,0.006
INDIA,NR,HP,2036,1.702
INDIA,NR,HR,2036,0.221
INDIA,NR,JK,2036,0.197
INDIA,NR,PB,2036,4.355
INDIA,NR,RJ,2036,0.836
INDIA,NR,UK,2036,1.333
INDIA,NR,UP,2036,1.61
INDIA,SR,AP,2036,2.056
INDIA,SR,KA,2036,1.218
INDIA,SR,KL,2036,0.437
INDIA,SR,TN,2036,2.673
INDIA,SR,TS,2036,1.969
INDIA,WR,CG,2036,7.707
INDIA,WR,GA,2036,0.547
INDIA,WR,GJ,2036,2.914
INDIA,WR,MH,2036,4.926
INDIA,WR,MP,2036,0.765
INDIA,ER,BR,2037,0.718
INDIA,ER,JH,2037,1.9
INDIA,ER,OD,2037,3.613
INDIA,ER,SK,2037,0
INDIA,ER,WB,2037,5.425
INDIA,NER,AS,2037,0.146
INDIA,NER,NE,2037,0.192
INDIA,NR,DL,2037,0.006
INDIA,NR,HP,2037,1.718
INDIA,NR,HR,2037,0.224
INDIA,NR,JK,2037,0.198
INDIA,NR,PB,2037,4.399
INDIA,NR,RJ,2037,0.844
INDIA,NR,UK,2037,1.346
INDIA,NR,UP,2037,1.626
INDIA,SR,AP,2037,2.077
INDIA,SR,KA,2037,1.23
INDIA,SR,KL,2037,0.442
INDIA,SR,TN,2037,2.701
INDIA,SR,TS,2037,1.989
INDIA,WR,CG,2037,7.784
INDIA,WR,GA,2037,0.552
INDIA,WR,GJ,2037,2.943
INDIA,WR,MH,2037,4.975
INDIA,WR,MP,2037,0.773
INDIA,ER,BR,2038,0.726
INDIA,ER,JH,2038,1.919
INDIA,ER,OD,2038,3.649
INDIA,ER,SK,2038,0
