ModelGeography,SubGeography1,SubGeography2,Year,EAF+BOF+IF
INDIA,NR,HP,2039,0
INDIA,NR,HR,2039,1.706737322
INDIA,NR,JK,2039,0
INDIA,NR,PB,2039,0.932206991
INDIA,NR,RJ,2039,0
INDIA,NR,UK,2039,0
INDIA,NR,UP,2039,0
INDIA,SR,AP,2039,0
INDIA,SR,KA,2039,7.443940436
INDIA,SR,KL,2039,0
INDIA,SR,TN,2039,0.261437811
INDIA,SR,TS,2039,0
INDIA,WR,CG,2039,9.4473274
INDIA,WR,GA,2039,0
INDIA,WR,GJ,2039,17.60066072
INDIA,WR,MH,2039,15.51477562
INDIA,WR,MP,2039,0
INDIA,ER,BR,2040,0
INDIA,ER,JH,2040,1.570529108
INDIA,ER,OD,2040,16.36950879
INDIA,ER,SK,2040,0
INDIA,ER,WB,2040,0.886567596
INDIA,NER,AS,2040,0
INDIA,NER,NE,2040,0
INDIA,NR,DL,2040,0
INDIA,NR,HP,2040,0
INDIA,NR,HR,2040,1.781799105
INDIA,NR,JK,2040,0
INDIA,NR,PB,2040,0.973374769
INDIA,NR,RJ,2040,0
INDIA,NR,UK,2040,0
INDIA,NR,UP,2040,0
INDIA,SR,AP,2040,0
INDIA,SR,KA,2040,7.769307967
INDIA,SR,KL,2040,0
INDIA,SR,TN,2040,0.273501409
INDIA,SR,TS,2040,0
INDIA,WR,CG,2040,9.860210512
INDIA,WR,GA,2040,0
INDIA,WR,GJ,2040,18.36938858
INDIA,WR,MH,2040,16.19468782
INDIA,WR,MP,2040,0
INDIA,ER,BR,2041,0
INDIA,ER,JH,2041,1.637946744
INDIA,ER,OD,2041,17.06769056
INDIA,ER,SK,2041,0
INDIA,ER,WB,2041,0.924671701
INDIA,NER,AS,2041,0
INDIA,NER,NE,2041,0
INDIA,NR,DL,2041,0
INDIA,NR,HP,2041,0
INDIA,NR,HR,2041,1.858588704
INDIA,NR,JK,2041,0
INDIA,NR,PB,2041,1.015002075
INDIA,NR,RJ,2041,0
INDIA,NR,UK,2041,0
INDIA,NR,UP,2041,0
INDIA,SR,AP,2041,0
INDIA,SR,KA,2041,7.719148417
INDIA,SR,KL,2041,0
INDIA,SR,TN,2041,0.284797752
INDIA,SR,TS,2041,0
INDIA,WR,CG,2041,10.28033234
INDIA,WR,GA,2041,0
INDIA,WR,GJ,2041,19.4173937
INDIA,WR,MH,2041,17.05266629
INDIA,WR,MP,2041,0
