InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,ConvEff
2022,EG_COAL,2026,INDIA,NER,0.373845751
2022,EG_COAL,2027,INDIA,NR,0.373845751
2022,EG_COAL,2027,INDIA,ER,0.373845751
2022,EG_COAL,2027,INDIA,WR,0.373845751
2022,EG_COAL,2027,INDIA,SR,0.373845751
2022,EG_COAL,2027,INDIA,NER,0.373845751
2022,EG_COAL,2028,INDIA,NR,0.373845751
2022,EG_COAL,2028,INDIA,ER,0.373845751
2022,EG_COAL,2028,INDIA,WR,0.373845751
2022,EG_COAL,2028,INDIA,SR,0.373845751
2022,EG_COAL,2028,INDIA,NER,0.373845751
2022,EG_COAL,2029,INDIA,NR,0.373845751
2022,EG_COAL,2029,INDIA,ER,0.373845751
2022,EG_COAL,2029,INDIA,WR,0.373845751
2022,EG_COAL,2029,INDIA,SR,0.373845751
2022,EG_COAL,2029,INDIA,NER,0.373845751
2022,EG_COAL,2030,INDIA,NR,0.373845751
2022,EG_COAL,2030,INDIA,ER,0.373845751
2022,EG_COAL,2030,INDIA,WR,0.373845751
2022,EG_COAL,2030,INDIA,SR,0.373845751
2022,EG_COAL,2030,INDIA,NER,0.373845751
2022,EG_COAL,2031,INDIA,NR,0.373845751
2022,EG_COAL,2031,INDIA,ER,0.373845751
2022,EG_COAL,2031,INDIA,WR,0.373845751
2022,EG_COAL,2031,INDIA,SR,0.373845751
2022,EG_COAL,2031,INDIA,NER,0.373845751
2023,EG_COAL,2023,INDIA,NR,0.373845751
2023,EG_COAL,2023,INDIA,ER,0.373845751
2023,EG_COAL,2023,INDIA,WR,0.373845751
2023,EG_COAL,2023,INDIA,SR,0.373845751
2023,EG_COAL,2023,INDIA,NER,0.373845751
2023,EG_COAL,2024,INDIA,NR,0.373845751
2023,EG_COAL,2024,INDIA,ER,0.373845751
2023,EG_COAL,2024,INDIA,WR,0.373845751
2023,EG_COAL,2024,INDIA,SR,0.373845751
2023,EG_COAL,2024,INDIA,NER,0.373845751
2023,EG_COAL,2025,INDIA,NR,0.373845751
2023,EG_COAL,2025,INDIA,ER,0.373845751
2023,EG_COAL,2025,INDIA,WR,0.373845751
2023,EG_COAL,2025,INDIA,SR,0.373845751
2023,EG_COAL,2025,INDIA,NER,0.373845751
2023,EG_COAL,2026,INDIA,NR,0.373845751
