Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,EnergyDemand,SeasonEnergyDemand
2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,MH,ALL,7.847247402349288,721.9467610161346
2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,GA,ALL,0.2002166053430422,18.41992769155988
2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,UT,ALL,0.3177734788860828,29.235160057519618
2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,DL,ALL,3.240044839444832,298.08412522892456
2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,HR,ALL,2.3453719609990005,215.77422041190803
2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,HP,ALL,0.5186126602310961,47.71236474126084
2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,JK,ALL,1.1249019085085978,103.490975582791
2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,PB,ALL,2.479674440733388,228.13004854747172
2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,RJ,ALL,2.6090388903187383,240.03157790932391
2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,UP,ALL,4.407630179154407,405.50197648220546
2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,UK,ALL,0.6296917950087375,57.93164514080385
2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,AP,ALL,2.778318000586237,255.6052560539338
2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,KA,ALL,4.115814848560957,378.65496606760803
2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,KL,ALL,1.7644086708281437,162.3255977161892
2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,TN,ALL,5.225449639398606,480.7413668246718
2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,TS,ALL,2.7578977695935536,253.72659480260694
2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,AS,ALL,0.6325485420863145,58.194465871940935
2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,NE,ALL,0.4516593330237848,41.552658638188205
2021,MONSOON,ALLDAYS,MORN,INDIA,ER,BR,ALL,1.6564756330303974,152.39575823879656
2021,MONSOON,ALLDAYS,MORN,INDIA,ER,JH,ALL,0.5497852371399683,50.580241816877084
2021,MONSOON,ALLDAYS,MORN,INDIA,ER,OD,ALL,1.1946303986743634,109.90599667804143
2021,MONSOON,ALLDAYS,MORN,INDIA,ER,WB,ALL,4.130905838563567,380.0433371478482
2021,MONSOON,ALLDAYS,MORN,INDIA,WR,CG,ALL,0.7672051199542417,70.58287103579023
2021,MONSOON,ALLDAYS,MORN,INDIA,WR,GJ,ALL,3.2223343883018405,296.4547637237693
2021,MONSOON,ALLDAYS,MORN,INDIA,WR,MP,ALL,4.063931723485172,373.8817185606359
2021,MONSOON,ALLDAYS,MORN,INDIA,WR,MH,ALL,9.31860629081702,857.3117787551657
2021,MONSOON,ALLDAYS,MORN,INDIA,WR,GA,ALL,0.2377572187862802,21.87366412833778
2021,MONSOON,ALLDAYS,MORN,INDIA,WR,UT,ALL,0.3773560062943882,34.71675257908372
