ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,EfficiencyLevelName,Year,SplitShare
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2023,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2025,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TS,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2028,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TS,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2023,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2025,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UP,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2028,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UP,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2023,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2025,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,UK,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2028,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,UK,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2023,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2025,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,ER,WB,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2028,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,ER,WB,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2023,0.273897059
