InstYear,EnergyStorTech,ModelGeography,SubGeography1,StorMaxLifetimeCharge
2030,PUMPED_STOR,INDIA,NR,0.0
2030,PUMPED_STOR,INDIA,SR,0.0
2030,PUMPED_STOR,INDIA,NER,0.0
2031,FOURHR_BATTERY,INDIA,ER,0.0
2031,FOURHR_BATTERY,INDIA,WR,0.0
2031,FOURHR_BATTERY,INDIA,NR,0.0
2031,FOURHR_BATTERY,INDIA,SR,0.0
2031,FOURHR_BATTERY,INDIA,NER,0.0
2031,SIXHR_BATTERY,INDIA,ER,0.0
2031,SIXHR_BATTERY,INDIA,WR,0.0
2031,SIXHR_BATTERY,INDIA,NR,0.0
2031,SIXHR_BATTERY,INDIA,SR,0.0
2031,SIXHR_BATTERY,INDIA,NER,0.0
2031,PUMPED_STOR,INDIA,ER,0.0
2031,PUMPED_STOR,INDIA,WR,0.0
2031,PUMPED_STOR,INDIA,NR,0.0
2031,PUMPED_STOR,INDIA,SR,0.0
2031,PUMPED_STOR,INDIA,NER,0.0
