EnergyService,ServiceTech,EnergyCarrier,Year,EmissionType,DomEmissionFactor,ImpEmissionFactor
CEMENT,PPC_CCUS,,2023,GHG,33.76650473,33.76650473
CEMENT,PSC_Norm,,2023,GHG,201.0088478,201.0088478
CEMENT,PSC_CCUS,,2023,GHG,20.10088478,20.10088478
CEMENT,CC_Norm,,2023,GHG,230.0970088,230.0970088
CEMENT,LC3_Norm,,2023,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2024,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2024,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2024,GHG,337.6650473,337.6650473
CEMENT,PPC_CCUS,,2024,GHG,33.76650473,33.76650473
CEMENT,PSC_Norm,,2024,GHG,201.0088478,201.0088478
CEMENT,PSC_CCUS,,2024,GHG,20.10088478,20.10088478
CEMENT,CC_Norm,,2024,GHG,230.0970088,230.0970088
CEMENT,LC3_Norm,,2024,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2025,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2025,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2025,GHG,335.0826815,335.0826815
CEMENT,PPC_CCUS,,2025,GHG,33.50826815,33.50826815
CEMENT,PSC_Norm,,2025,GHG,197.0133059,197.0133059
CEMENT,PSC_CCUS,,2025,GHG,19.70133059,19.70133059
CEMENT,CC_Norm,,2025,GHG,227.179075,227.179075
CEMENT,LC3_Norm,,2025,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2026,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2026,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2026,GHG,332.5200649,332.5200649
CEMENT,PPC_CCUS,,2026,GHG,33.25200649,33.25200649
CEMENT,PSC_Norm,,2026,GHG,193.0971852,193.0971852
CEMENT,PSC_CCUS,,2026,GHG,19.30971852,19.30971852
CEMENT,CC_Norm,,2026,GHG,224.2981445,224.2981445
CEMENT,LC3_Norm,,2026,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2027,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2027,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2027,GHG,329.9770464,329.9770464
CEMENT,PPC_CCUS,,2027,GHG,32.99770464,32.99770464
CEMENT,PSC_Norm,,2027,GHG,189.2589069,189.2589069
CEMENT,PSC_CCUS,,2027,GHG,18.92589069,18.92589069
