EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NR,130.09585884983989,11968.81901418527
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,SR,156.0453724126967,14356.174261968097
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NER,4.936494395722678,454.1574844064864
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,63.82021843764676,5871.460096263501
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,165.1375154559814,15192.65142195029
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,123.47931264630405,11360.096763459973
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,149.62186119562944,13765.211229997909
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,4.277082612104587,393.491600313622
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,ER,81.57589450667682,7504.982294614268
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,WR,171.47820845534181,15775.995177891447
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NR,136.4085228677214,12549.584103830368
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,SR,163.65240511048347,15056.02127016448
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NER,8.258677665759983,759.7983452499184
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,ER,110.57681411313345,10173.066898408277
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,WR,271.2214509088419,24952.373483613457
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NR,207.68447944334997,19106.9721087882
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,SR,237.2214747976236,21824.375681381374
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NER,7.509027162262216,690.8304989281238
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,ER,51.45766458824979,3036.0022107067375
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,WR,123.59530838017281,7292.123194430196
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NR,94.56284963633611,5579.208128543831
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,SR,112.22773191421376,6621.436182938612
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NER,3.2035881793986154,189.0117025845183
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,ER,67.34715178175121,3973.4819551233213
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,WR,157.62624662015466,9299.948550589124
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NR,119.65461286042256,7059.622158764931
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,SR,143.3846129759387,8459.692165580384
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NER,4.7424539064575395,279.80478048099485
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,ER,73.31890228959249,4325.815235085956
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,WR,173.24508932363497,10221.460270094463
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NR,139.85965499289676,8251.71964458091
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,SR,157.42931857069902,9288.329795671243
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NER,6.053350091747634,357.14765541311044
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,72.26413722858655,4263.5840964866065
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,169.08297839489606,9975.895725298868
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,137.74355583691775,8126.869794378147
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,152.58428438954437,9002.472778983118
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,5.413616106681745,319.403350294223
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,ER,103.3517581822906,6097.753732755145
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,WR,196.46202703108855,11591.259594834224
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NR,164.95654341601707,9732.436061545008
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,SR,188.56130508443374,11125.11699998159
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NER,9.687667620987881,571.572389638285
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,ER,123.5593808244357,7290.003468641707
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,WR,282.5572199787533,16670.875978746448
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NR,215.57785456614522,12719.093419402569
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,SR,270.80405797356786,15977.439420440503
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NER,8.180368210978468,482.64172444772964
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,ER,72.27365595791649,4408.693013432906
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,WR,159.8265881843092,9749.421879242862
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NR,149.6666960985347,9129.668462010615
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,SR,152.01098777492905,9272.670254270672
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NER,5.44417837523138,332.09488088911417
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,ER,78.31032720321825,4776.929959396313
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,WR,180.65861872461602,11020.175742201578
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NR,173.058415443525,10556.563342055026
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,SR,168.17240318641046,10258.516594371038
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NER,6.964299255867672,424.822254607928
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,ER,78.99678354131154,4818.8037960200045
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,WR,176.43325012242536,10762.428257467947
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NR,177.62826554696807,10835.324198365051
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,SR,162.78683856523293,9929.997152479209
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NER,7.818839118965227,476.9491862568788
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,78.0259444044611,4759.582608672127
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,166.10994177474822,10132.706448259642
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,167.86491163243085,10239.759609578281
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,150.62448782034156,9188.093757040835
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,7.402802220176237,451.5709354307504
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,ER,120.8081535653693,7369.297367487527
