ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
COOLER,RURAL,INDIA,ER,WB,2039,1
COOLER,RURAL,INDIA,ER,WB,2040,1
COOLER,RURAL,INDIA,ER,WB,2041,1
COOLER,RURAL,INDIA,ER,SK,2024,1
COOLER,RURAL,INDIA,ER,SK,2025,1
COOLER,RURAL,INDIA,ER,SK,2026,1
COOLER,RURAL,INDIA,ER,SK,2027,1
COOLER,RURAL,INDIA,ER,SK,2028,1
COOLER,RURAL,INDIA,ER,SK,2029,1
COOLER,RURAL,INDIA,ER,SK,2030,1
COOLER,RURAL,INDIA,ER,SK,2031,1
COOLER,RURAL,INDIA,ER,SK,2032,1
COOLER,RURAL,INDIA,ER,SK,2033,1
COOLER,RURAL,INDIA,ER,SK,2034,1
COOLER,RURAL,INDIA,ER,SK,2035,1
COOLER,RURAL,INDIA,ER,SK,2036,1
COOLER,RURAL,INDIA,ER,SK,2037,1
COOLER,RURAL,INDIA,ER,SK,2038,1
COOLER,RURAL,INDIA,ER,SK,2039,1
COOLER,RURAL,INDIA,ER,SK,2040,1
COOLER,RURAL,INDIA,ER,SK,2041,1
COOLER,RURAL,INDIA,WR,CG,2024,1
COOLER,RURAL,INDIA,WR,CG,2025,1
COOLER,RURAL,INDIA,WR,CG,2026,1
COOLER,RURAL,INDIA,WR,CG,2027,1
COOLER,RURAL,INDIA,WR,CG,2028,1
COOLER,RURAL,INDIA,WR,CG,2029,1
COOLER,RURAL,INDIA,WR,CG,2030,1
COOLER,RURAL,INDIA,WR,CG,2031,1
COOLER,RURAL,INDIA,WR,CG,2032,1
COOLER,RURAL,INDIA,WR,CG,2033,1
COOLER,RURAL,INDIA,WR,CG,2034,1
COOLER,RURAL,INDIA,WR,CG,2035,1
COOLER,RURAL,INDIA,WR,CG,2036,1
COOLER,RURAL,INDIA,WR,CG,2037,1
COOLER,RURAL,INDIA,WR,CG,2038,1
COOLER,RURAL,INDIA,WR,CG,2039,1
COOLER,RURAL,INDIA,WR,CG,2040,1
COOLER,RURAL,INDIA,WR,CG,2041,1
COOLER,RURAL,INDIA,WR,GJ,2024,1.003014041
COOLER,RURAL,INDIA,WR,GJ,2025,1.004524125
COOLER,RURAL,INDIA,WR,GJ,2026,1.005431403
COOLER,RURAL,INDIA,WR,GJ,2027,1.006339501
COOLER,RURAL,INDIA,WR,GJ,2028,1.007248418
COOLER,RURAL,INDIA,WR,GJ,2029,1.008158157
COOLER,RURAL,INDIA,WR,GJ,2030,1.009068718
COOLER,RURAL,INDIA,WR,GJ,2031,1.0099801
COOLER,RURAL,INDIA,WR,GJ,2032,1.010892306
COOLER,RURAL,INDIA,WR,GJ,2033,1.011805336
COOLER,RURAL,INDIA,WR,GJ,2034,1.012719191
COOLER,RURAL,INDIA,WR,GJ,2035,1.013633871
COOLER,RURAL,INDIA,WR,GJ,2036,1.014549377
COOLER,RURAL,INDIA,WR,GJ,2037,1.015465709
COOLER,RURAL,INDIA,WR,GJ,2038,1.01638287
COOLER,RURAL,INDIA,WR,GJ,2039,1.017300859
COOLER,RURAL,INDIA,WR,GJ,2040,1.018219677
COOLER,RURAL,INDIA,WR,GJ,2041,1.019139325
COOLER,RURAL,INDIA,WR,MP,2024,1.003014041
COOLER,RURAL,INDIA,WR,MP,2025,1.004524125
COOLER,RURAL,INDIA,WR,MP,2026,1.005431403
COOLER,RURAL,INDIA,WR,MP,2027,1.006339501
COOLER,RURAL,INDIA,WR,MP,2028,1.007248418
COOLER,RURAL,INDIA,WR,MP,2029,1.008158157
COOLER,RURAL,INDIA,WR,MP,2030,1.009068718
COOLER,RURAL,INDIA,WR,MP,2031,1.0099801
COOLER,RURAL,INDIA,WR,MP,2032,1.010892306
COOLER,RURAL,INDIA,WR,MP,2033,1.011805336
COOLER,RURAL,INDIA,WR,MP,2034,1.012719191
COOLER,RURAL,INDIA,WR,MP,2035,1.013633871
COOLER,RURAL,INDIA,WR,MP,2036,1.014549377
COOLER,RURAL,INDIA,WR,MP,2037,1.015465709
COOLER,RURAL,INDIA,WR,MP,2038,1.01638287
COOLER,RURAL,INDIA,WR,MP,2039,1.017300859
COOLER,RURAL,INDIA,WR,MP,2040,1.018219677
COOLER,RURAL,INDIA,WR,MP,2041,1.019139325
COOLER,RURAL,INDIA,WR,MH,2024,1.003014041
COOLER,RURAL,INDIA,WR,MH,2025,1.004524125
COOLER,RURAL,INDIA,WR,MH,2026,1.005431403
COOLER,RURAL,INDIA,WR,MH,2027,1.006339501
COOLER,RURAL,INDIA,WR,MH,2028,1.007248418
COOLER,RURAL,INDIA,WR,MH,2029,1.008158157
COOLER,RURAL,INDIA,WR,MH,2030,1.009068718
COOLER,RURAL,INDIA,WR,MH,2031,1.0099801
