ModelGeography,SubGeography1,SubGeography2,Year,EAF+BOF+IF
INDIA,NR,HP,2039,0
INDIA,NR,HR,2039,3.136871128
INDIA,NR,JK,2039,0
INDIA,NR,PB,2039,1.713424431
INDIA,NR,RJ,2039,0
INDIA,NR,UK,2039,0
INDIA,NR,UP,2039,0
INDIA,SR,AP,2039,0
INDIA,SR,KA,2039,12.09535373
INDIA,SR,KL,2039,0
INDIA,SR,TN,2039,0.48182431
INDIA,SR,TS,2039,0
INDIA,WR,CG,2039,17.35572761
INDIA,WR,GA,2039,0
INDIA,WR,GJ,2039,32.11070741
INDIA,WR,MH,2039,28.71667163
INDIA,WR,MP,2039,0
INDIA,ER,BR,2040,0
INDIA,ER,JH,2040,3.011543545
INDIA,ER,OD,2040,31.39472067
INDIA,ER,SK,2040,0
INDIA,ER,WB,2040,1.699751182
INDIA,NER,AS,2040,0
INDIA,NER,NE,2040,0
INDIA,NR,DL,2040,0
INDIA,NR,HP,2040,0
INDIA,NR,HR,2040,3.417727765
INDIA,NR,JK,2040,0
INDIA,NR,PB,2040,1.86689249
INDIA,NR,RJ,2040,0
INDIA,NR,UK,2040,0
INDIA,NR,UP,2040,0
INDIA,SR,AP,2040,0
INDIA,SR,KA,2040,13.17904066
INDIA,SR,KL,2040,0
INDIA,SR,TN,2040,0.524705675
INDIA,SR,TS,2040,0
INDIA,WR,CG,2040,18.90896781
INDIA,WR,GA,2040,0
INDIA,WR,GJ,2040,34.9851119
INDIA,WR,MH,2040,31.28788799
INDIA,WR,MP,2040,0
INDIA,ER,BR,2041,0
INDIA,ER,JH,2041,3.262241439
INDIA,ER,OD,2041,34.00683658
INDIA,ER,SK,2041,0
INDIA,ER,WB,2041,1.841408181
INDIA,NER,AS,2041,0
INDIA,NER,NE,2041,0
INDIA,NR,DL,2041,0
INDIA,NR,HP,2041,0
INDIA,NR,HR,2041,3.701887949
INDIA,NR,JK,2041,0
INDIA,NR,PB,2041,2.022588261
INDIA,NR,RJ,2041,0
INDIA,NR,UK,2041,0
INDIA,NR,UP,2041,0
INDIA,SR,AP,2041,0
INDIA,SR,KA,2041,13.42120057
INDIA,SR,KL,2041,0
INDIA,SR,TN,2041,0.567879724
INDIA,SR,TS,2041,0
INDIA,WR,CG,2041,20.48334904
INDIA,WR,GA,2041,0
INDIA,WR,GJ,2041,38.76884736
INDIA,WR,MH,2041,34.36959892
INDIA,WR,MP,2041,0
