EnergyCarrier,Year,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,TransitCost
STEAM_COAL,2027,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2028,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2029,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2030,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2031,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2021,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2022,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2023,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2024,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2025,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2026,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2027,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2028,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2029,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2030,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2031,INDIA,WR,INDIA,SR,2160.3
STEAM_COAL,2021,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2022,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2023,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2024,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2025,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2026,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2027,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2028,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2029,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2030,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2031,INDIA,WR,INDIA,NER,3354.5
STEAM_COAL,2021,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2022,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2023,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2024,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2025,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2026,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2027,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2028,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2029,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2030,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2031,INDIA,NR,INDIA,ER,2497.6
STEAM_COAL,2021,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2022,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2023,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2024,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2025,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2026,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2027,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2028,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2029,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2030,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2031,INDIA,NR,INDIA,WR,1838.6
STEAM_COAL,2021,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2022,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2023,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2024,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2025,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2026,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2027,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2028,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2029,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2030,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2031,INDIA,NR,INDIA,NR,926.0
STEAM_COAL,2021,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2022,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2023,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2024,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2025,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2026,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2027,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2028,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2029,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2030,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2031,INDIA,NR,INDIA,SR,3029.6
STEAM_COAL,2021,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2022,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2023,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2024,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2025,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2026,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2027,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2028,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2029,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2030,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2031,INDIA,NR,INDIA,NER,3174.0
STEAM_COAL,2021,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2022,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2023,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2024,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2025,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2026,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2027,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2028,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2029,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2030,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2031,INDIA,SR,INDIA,ER,2776.7
STEAM_COAL,2021,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2022,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2023,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2024,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2025,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2026,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2027,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2028,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2029,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2030,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2031,INDIA,SR,INDIA,WR,2160.3
STEAM_COAL,2021,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2022,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2023,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2024,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2025,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2026,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2027,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2028,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2029,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2030,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2031,INDIA,SR,INDIA,NR,3029.6
STEAM_COAL,2021,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2022,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2023,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2024,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2025,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2026,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2027,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2028,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2029,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2030,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2031,INDIA,SR,INDIA,SR,926.0
STEAM_COAL,2021,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2022,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2023,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2024,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2025,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2026,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2027,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2028,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2029,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2030,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2031,INDIA,SR,INDIA,NER,3787.9
STEAM_COAL,2021,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2022,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2023,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2024,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2025,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2026,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2027,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2028,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2029,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2030,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2031,INDIA,NER,INDIA,ER,2497.6
STEAM_COAL,2021,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2022,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2023,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2024,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2025,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2026,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2027,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2028,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2029,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2030,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2031,INDIA,NER,INDIA,WR,3354.5
STEAM_COAL,2021,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2022,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2023,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2024,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2025,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2026,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2027,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2028,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2029,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2030,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2031,INDIA,NER,INDIA,NR,3174.0
STEAM_COAL,2021,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2022,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2023,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2024,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2025,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2026,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2027,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2028,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2029,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2030,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2031,INDIA,NER,INDIA,SR,3787.9
STEAM_COAL,2021,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2022,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2023,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2024,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2025,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2026,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2027,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2028,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2029,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2030,INDIA,NER,INDIA,NER,926.0
STEAM_COAL,2031,INDIA,NER,INDIA,NER,926.0
ELECTRICITY,2021,INDIA,NR,INDIA,NR,2.351452619
ELECTRICITY,2022,INDIA,NR,INDIA,NR,2.384318632
ELECTRICITY,2023,INDIA,NR,INDIA,NR,2.417737071
ELECTRICITY,2024,INDIA,NR,INDIA,NR,2.45171722
ELECTRICITY,2025,INDIA,NR,INDIA,NR,2.486268523
ELECTRICITY,2026,INDIA,NR,INDIA,NR,2.521400578
ELECTRICITY,2027,INDIA,NR,INDIA,NR,2.557123148
ELECTRICITY,2028,INDIA,NR,INDIA,NR,2.593446157
ELECTRICITY,2029,INDIA,NR,INDIA,NR,2.630379699
