Year,ModelGeography,SubGeography1,SubGeography2,GDP
2030,INDIA,NER,NE,3211834.276
2030,INDIA,SR,AP,15824925.28
2030,INDIA,NR,HP,2414326.533
2030,INDIA,NR,UK,3600069.098
2030,INDIA,WR,GA,1160040.811
2030,INDIA,ER,SK,496926.0642
2030,INDIA,ER,BR,9488034.025
2030,INDIA,SR,TN,29367932.59
2030,INDIA,ER,WB,16358312.8
2030,INDIA,SR,KL,10233178.72
2030,INDIA,NR,RJ,13208468.9
2030,INDIA,WR,GJ,31946005.37
2030,INDIA,WR,MP,12895952.39
2030,INDIA,NR,JK,2375295.213
2030,INDIA,NER,AS,5836194.354
2030,INDIA,NR,PB,8481106.786
2030,INDIA,WR,MH,38241518.7
2030,INDIA,NR,HR,12434126.34
2031,INDIA,WR,MP,13635207.7
2031,INDIA,WR,GJ,34266048.87
2031,INDIA,SR,TN,30992100.76
2031,INDIA,NR,UK,3745746.873
2031,INDIA,ER,BR,10039771.3
2031,INDIA,ER,SK,530751.9464
2031,INDIA,NER,AS,6203541.44
2031,INDIA,NR,JK,2479924.036
2031,INDIA,NR,PB,8813726.184
2031,INDIA,SR,AP,16844966.14
2031,INDIA,SR,TS,15294222.6
2031,INDIA,WR,GA,1232042.128
2031,INDIA,NR,DL,12945687.51
2031,INDIA,NR,UP,23050859.98
2031,INDIA,SR,KL,10614333.99
2031,INDIA,NR,RJ,13735310.79
2031,INDIA,SR,KA,29271862.13
2031,INDIA,NR,HR,13164111.97
2031,INDIA,ER,OD,9086809.36
2031,INDIA,WR,CG,5162585.837
2031,INDIA,WR,MH,39743395.29
2031,INDIA,ER,JH,4881667.523
2031,INDIA,ER,WB,17112844
2031,INDIA,NR,HP,2525161.667
2031,INDIA,NER,NE,3397492.849
2032,INDIA,SR,TS,16210925.4
2032,INDIA,WR,GJ,36748459.49
2032,INDIA,WR,MH,41263407.44
2032,INDIA,WR,MP,14401302.42
2032,INDIA,NER,NE,3589903.971
2032,INDIA,WR,CG,5367660.9
2032,INDIA,SR,KL,10998814
2032,INDIA,WR,GA,1307403.528
2032,INDIA,SR,KA,31129586.74
2032,INDIA,SR,TN,32673527.52
2032,INDIA,ER,SK,566730.0337
2032,INDIA,SR,AP,17911906.91
2032,INDIA,NR,DL,13596526
2032,INDIA,NR,UP,23953159.94
2032,INDIA,ER,BR,10608843.44
2032,INDIA,ER,OD,9557155.257
2032,INDIA,ER,JH,5086397.369
2032,INDIA,NR,HP,2637741.542
2032,INDIA,NR,UK,3893400.128
2032,INDIA,NR,PB,9150605.866
2032,INDIA,NR,RJ,14275501.84
2032,INDIA,NER,AS,6586672.115
2032,INDIA,NR,JK,2586906.753
2032,INDIA,ER,WB,17880067.19
2032,INDIA,NR,HR,13925769.68
2033,INDIA,ER,JH,5295337.859
2033,INDIA,SR,KL,11389157.13
2033,INDIA,NER,NE,3788974.303
2033,INDIA,NR,RJ,14830548.15
2033,INDIA,WR,GJ,39402825.11
2033,INDIA,WR,MH,42810594.56
2033,INDIA,SR,TS,17165727.49
2033,INDIA,NR,JK,2696632.647
2033,INDIA,SR,KA,33083074.23
2033,INDIA,NER,AS,6987474.257
2033,INDIA,ER,OD,10043813.45
2033,INDIA,NR,UP,24868214.86
2033,INDIA,NR,HR,14723444.56
2033,INDIA,WR,CG,5577228.829
2033,INDIA,SR,TN,34420340.23
2033,INDIA,NR,HP,2753383.148
2033,INDIA,ER,SK,605005.6705
2033,INDIA,WR,MP,15198031.35
2033,INDIA,NR,PB,9493327.571
2033,INDIA,ER,BR,11198504.23
2033,INDIA,WR,GA,1387095.718
2033,INDIA,NR,DL,14275295.03
