InstYear,EnergyStorTech,Year,ModelGeography,SubGeography1,StorFixedCost
2023,FOURHR_BATTERY,2028,INDIA,WR,3930.452404
2023,FOURHR_BATTERY,2028,INDIA,NR,3930.452404
2023,FOURHR_BATTERY,2028,INDIA,SR,3930.452404
2023,FOURHR_BATTERY,2028,INDIA,NER,3930.452404
2023,FOURHR_BATTERY,2029,INDIA,ER,3930.452404
2023,FOURHR_BATTERY,2029,INDIA,WR,3930.452404
2023,FOURHR_BATTERY,2029,INDIA,NR,3930.452404
2023,FOURHR_BATTERY,2029,INDIA,SR,3930.452404
2023,FOURHR_BATTERY,2029,INDIA,NER,3930.452404
2023,FOURHR_BATTERY,2030,INDIA,ER,3930.452404
2023,FOURHR_BATTERY,2030,INDIA,WR,3930.452404
2023,FOURHR_BATTERY,2030,INDIA,NR,3930.452404
2023,FOURHR_BATTERY,2030,INDIA,SR,3930.452404
2023,FOURHR_BATTERY,2030,INDIA,NER,3930.452404
2023,FOURHR_BATTERY,2031,INDIA,ER,3930.452404
2023,FOURHR_BATTERY,2031,INDIA,WR,3930.452404
2023,FOURHR_BATTERY,2031,INDIA,NR,3930.452404
2023,FOURHR_BATTERY,2031,INDIA,SR,3930.452404
2023,FOURHR_BATTERY,2031,INDIA,NER,3930.452404
2024,FOURHR_BATTERY,2024,INDIA,ER,3701.452184
2024,FOURHR_BATTERY,2024,INDIA,WR,3701.452184
2024,FOURHR_BATTERY,2024,INDIA,NR,3701.452184
2024,FOURHR_BATTERY,2024,INDIA,SR,3701.452184
2024,FOURHR_BATTERY,2024,INDIA,NER,3701.452184
2024,FOURHR_BATTERY,2025,INDIA,ER,3701.452184
2024,FOURHR_BATTERY,2025,INDIA,WR,3701.452184
2024,FOURHR_BATTERY,2025,INDIA,NR,3701.452184
2024,FOURHR_BATTERY,2025,INDIA,SR,3701.452184
2024,FOURHR_BATTERY,2025,INDIA,NER,3701.452184
2024,FOURHR_BATTERY,2026,INDIA,ER,3701.452184
2024,FOURHR_BATTERY,2026,INDIA,WR,3701.452184
2024,FOURHR_BATTERY,2026,INDIA,NR,3701.452184
2024,FOURHR_BATTERY,2026,INDIA,SR,3701.452184
2024,FOURHR_BATTERY,2026,INDIA,NER,3701.452184
2024,FOURHR_BATTERY,2027,INDIA,ER,3701.452184
2024,FOURHR_BATTERY,2027,INDIA,WR,3701.452184
2024,FOURHR_BATTERY,2027,INDIA,NR,3701.452184
2024,FOURHR_BATTERY,2027,INDIA,SR,3701.452184
2024,FOURHR_BATTERY,2027,INDIA,NER,3701.452184
2024,FOURHR_BATTERY,2028,INDIA,ER,3701.452184
2024,FOURHR_BATTERY,2028,INDIA,WR,3701.452184
2024,FOURHR_BATTERY,2028,INDIA,NR,3701.452184
2024,FOURHR_BATTERY,2028,INDIA,SR,3701.452184
2024,FOURHR_BATTERY,2028,INDIA,NER,3701.452184
2024,FOURHR_BATTERY,2029,INDIA,ER,3701.452184
2024,FOURHR_BATTERY,2029,INDIA,WR,3701.452184
2024,FOURHR_BATTERY,2029,INDIA,NR,3701.452184
2024,FOURHR_BATTERY,2029,INDIA,SR,3701.452184
2024,FOURHR_BATTERY,2029,INDIA,NER,3701.452184
2024,FOURHR_BATTERY,2030,INDIA,ER,3701.452184
2024,FOURHR_BATTERY,2030,INDIA,WR,3701.452184
2024,FOURHR_BATTERY,2030,INDIA,NR,3701.452184
2024,FOURHR_BATTERY,2030,INDIA,SR,3701.452184
2024,FOURHR_BATTERY,2030,INDIA,NER,3701.452184
2024,FOURHR_BATTERY,2031,INDIA,ER,3701.452184
2024,FOURHR_BATTERY,2031,INDIA,WR,3701.452184
2024,FOURHR_BATTERY,2031,INDIA,NR,3701.452184
2024,FOURHR_BATTERY,2031,INDIA,SR,3701.452184
2024,FOURHR_BATTERY,2031,INDIA,NER,3701.452184
2025,FOURHR_BATTERY,2025,INDIA,ER,3461.719774
2025,FOURHR_BATTERY,2025,INDIA,WR,3461.719774
2025,FOURHR_BATTERY,2025,INDIA,NR,3461.719774
2025,FOURHR_BATTERY,2025,INDIA,SR,3461.719774
2025,FOURHR_BATTERY,2025,INDIA,NER,3461.719774
2025,FOURHR_BATTERY,2026,INDIA,ER,3461.719774
2025,FOURHR_BATTERY,2026,INDIA,WR,3461.719774
2025,FOURHR_BATTERY,2026,INDIA,NR,3461.719774
2025,FOURHR_BATTERY,2026,INDIA,SR,3461.719774
2025,FOURHR_BATTERY,2026,INDIA,NER,3461.719774
2025,FOURHR_BATTERY,2027,INDIA,ER,3461.719774
2025,FOURHR_BATTERY,2027,INDIA,WR,3461.719774
2025,FOURHR_BATTERY,2027,INDIA,NR,3461.719774
2025,FOURHR_BATTERY,2027,INDIA,SR,3461.719774
2025,FOURHR_BATTERY,2027,INDIA,NER,3461.719774
2025,FOURHR_BATTERY,2028,INDIA,ER,3461.719774
2025,FOURHR_BATTERY,2028,INDIA,WR,3461.719774
2025,FOURHR_BATTERY,2028,INDIA,NR,3461.719774
2025,FOURHR_BATTERY,2028,INDIA,SR,3461.719774
2025,FOURHR_BATTERY,2028,INDIA,NER,3461.719774
2025,FOURHR_BATTERY,2029,INDIA,ER,3461.719774
2025,FOURHR_BATTERY,2029,INDIA,WR,3461.719774
2025,FOURHR_BATTERY,2029,INDIA,NR,3461.719774
2025,FOURHR_BATTERY,2029,INDIA,SR,3461.719774
2025,FOURHR_BATTERY,2029,INDIA,NER,3461.719774
2025,FOURHR_BATTERY,2030,INDIA,ER,3461.719774
2025,FOURHR_BATTERY,2030,INDIA,WR,3461.719774
