ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,TechSplitRatio
INDIA,ER,BR,2024,IPT3W,IPT3W_HSD,0.520366230770396
INDIA,ER,BR,2024,IPT3W,IPT3W_MS,0.009798469205583915
INDIA,ER,BR,2024,IPT3W,IPT3W_NATGAS,0.11730247796534614
INDIA,ER,BR,2025,IPT3W,IPT3W_E,0.4269547868955809
INDIA,ER,BR,2025,IPT3W,IPT3W_HSD,0.41710865594145186
INDIA,ER,BR,2025,IPT3W,IPT3W_MS,0.008113415524738673
INDIA,ER,BR,2025,IPT3W,IPT3W_NATGAS,0.1478231416382286
INDIA,ER,BR,2026,IPT3W,IPT3W_E,0.4858911192711942
INDIA,ER,BR,2026,IPT3W,IPT3W_HSD,0.3352484672563024
INDIA,ER,BR,2026,IPT3W,IPT3W_MS,0.006953045572184908
INDIA,ER,BR,2026,IPT3W,IPT3W_NATGAS,0.17190736790031846
INDIA,ER,BR,2027,IPT3W,IPT3W_E,0.5358169968226236
INDIA,ER,BR,2027,IPT3W,IPT3W_HSD,0.2652843794695237
INDIA,ER,BR,2027,IPT3W,IPT3W_MS,0.0059213963327423924
INDIA,ER,BR,2027,IPT3W,IPT3W_NATGAS,0.19297722737511028
INDIA,ER,BR,2028,IPT3W,IPT3W_E,0.575093131538872
INDIA,ER,BR,2028,IPT3W,IPT3W_HSD,0.20853031376854725
INDIA,ER,BR,2028,IPT3W,IPT3W_MS,0.004881600905609949
INDIA,ER,BR,2028,IPT3W,IPT3W_NATGAS,0.21149495378697084
INDIA,ER,BR,2029,IPT3W,IPT3W_E,0.6165275255614887
INDIA,ER,BR,2029,IPT3W,IPT3W_HSD,0.14642447731441982
INDIA,ER,BR,2029,IPT3W,IPT3W_MS,0.0040438606912363475
INDIA,ER,BR,2029,IPT3W,IPT3W_NATGAS,0.23300413643285509
INDIA,ER,BR,2030,IPT3W,IPT3W_E,0.6711219463302901
INDIA,ER,BR,2030,IPT3W,IPT3W_HSD,0.07036963885113923
INDIA,ER,BR,2030,IPT3W,IPT3W_MS,0.0029744445394327625
INDIA,ER,BR,2030,IPT3W,IPT3W_NATGAS,0.25553397027913793
