EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,Year,MaxCapacity,MinCapacity
EG_SOLARPV,INDIA,ER,OD,2031,0.930312751,0
EG_SOLARPV,INDIA,NR,PB,2021,0,0
EG_SOLARPV,INDIA,NR,PB,2022,0.022,0.022
EG_SOLARPV,INDIA,NR,PB,2023,0.050701684,0.033
EG_SOLARPV,INDIA,NR,PB,2024,0.067602245,0.055
EG_SOLARPV,INDIA,NR,PB,2025,0.084502807,0
EG_SOLARPV,INDIA,NR,PB,2026,0.101403368,0
EG_SOLARPV,INDIA,NR,PB,2027,0.101403368,0
EG_SOLARPV,INDIA,NR,PB,2028,0.101403368,0
EG_SOLARPV,INDIA,NR,PB,2029,0.101403368,0
EG_SOLARPV,INDIA,NR,PB,2030,0.101403368,0
EG_SOLARPV,INDIA,NR,PB,2031,0.101403368,0
EG_SOLARPV,INDIA,NR,RJ,2021,0.353301047,0.33467
EG_SOLARPV,INDIA,NR,RJ,2022,5.367659194,5.0846
EG_SOLARPV,INDIA,NR,RJ,2023,8.61627219,8.1619
EG_SOLARPV,INDIA,NR,RJ,2024,10.38409701,9.8365
EG_SOLARPV,INDIA,NR,RJ,2025,4.27957097,0
EG_SOLARPV,INDIA,NR,RJ,2026,5.135485164,0
EG_SOLARPV,INDIA,NR,RJ,2027,5.135485164,0
EG_SOLARPV,INDIA,NR,RJ,2028,5.135485164,0
EG_SOLARPV,INDIA,NR,RJ,2029,5.135485164,0
EG_SOLARPV,INDIA,NR,RJ,2030,5.135485164,0
EG_SOLARPV,INDIA,NR,RJ,2031,5.135485164,0
EG_SOLARPV,INDIA,SR,TN,2021,0.501036652,0.4876
EG_SOLARPV,INDIA,SR,TN,2022,0.393143197,0.3826
EG_SOLARPV,INDIA,SR,TN,2023,0.31882518,0.1989
EG_SOLARPV,INDIA,SR,TN,2024,0.425100241,0.3315
EG_SOLARPV,INDIA,SR,TN,2025,0.531375301,0
EG_SOLARPV,INDIA,SR,TN,2026,0.637650361,0
EG_SOLARPV,INDIA,SR,TN,2027,0.637650361,0
EG_SOLARPV,INDIA,SR,TN,2028,0.637650361,0
EG_SOLARPV,INDIA,SR,TN,2029,0.637650361,0
EG_SOLARPV,INDIA,SR,TN,2030,0.637650361,0
EG_SOLARPV,INDIA,SR,TN,2031,0.637650361,0
EG_SOLARPV,INDIA,SR,TS,2021,0.455816232,0.31561
EG_SOLARPV,INDIA,SR,TS,2022,0.039860993,0.0276
EG_SOLARPV,INDIA,SR,TS,2023,0.368263833,0.0414
EG_SOLARPV,INDIA,SR,TS,2024,0.491018444,0.069
EG_SOLARPV,INDIA,SR,TS,2025,0.613773055,0
EG_SOLARPV,INDIA,SR,TS,2026,0.736527666,0
EG_SOLARPV,INDIA,SR,TS,2027,0.736527666,0
EG_SOLARPV,INDIA,SR,TS,2028,0.736527666,0
EG_SOLARPV,INDIA,SR,TS,2029,0.736527666,0
EG_SOLARPV,INDIA,SR,TS,2030,0.736527666,0
EG_SOLARPV,INDIA,SR,TS,2031,0.736527666,0
EG_SOLARPV,INDIA,NR,UP,2021,0.5724,0.5724
EG_SOLARPV,INDIA,NR,UP,2022,0.289,0.289
EG_SOLARPV,INDIA,NR,UP,2023,0.5335,0.5335
EG_SOLARPV,INDIA,NR,UP,2024,0.7225,0.7225
EG_SOLARPV,INDIA,NR,UP,2025,0.686547715,0
EG_SOLARPV,INDIA,NR,UP,2026,0.823857257,0
EG_SOLARPV,INDIA,NR,UP,2027,0.823857257,0
EG_SOLARPV,INDIA,NR,UP,2028,0.823857257,0
EG_SOLARPV,INDIA,NR,UP,2029,0.823857257,0
EG_SOLARPV,INDIA,NR,UP,2030,0.823857257,0
EG_SOLARPV,INDIA,NR,UP,2031,0.823857257,0
EG_SOLARPV,INDIA,NR,UK,2021,0.03751,0.03751
EG_SOLARPV,INDIA,NR,UK,2022,0,0
EG_SOLARPV,INDIA,NR,UK,2023,0.303127506,0
EG_SOLARPV,INDIA,NR,UK,2024,0.404170008,0
EG_SOLARPV,INDIA,NR,UK,2025,0.50521251,0
