InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,FixedCost
2022,RF_ATF,2029,INDIA,,5705.334712
2023,RF_ATF,2029,INDIA,,5705.334712
2024,RF_ATF,2029,INDIA,,5705.334712
2025,RF_ATF,2029,INDIA,,5705.334712
2026,RF_ATF,2029,INDIA,,5705.334712
2027,RF_ATF,2029,INDIA,,5705.334712
2028,RF_ATF,2029,INDIA,,5705.334712
2029,RF_ATF,2029,INDIA,,5705.334712
2021,RF_ATF,2030,INDIA,,5705.334712
2022,RF_ATF,2030,INDIA,,5705.334712
2023,RF_ATF,2030,INDIA,,5705.334712
2024,RF_ATF,2030,INDIA,,5705.334712
2025,RF_ATF,2030,INDIA,,5705.334712
2026,RF_ATF,2030,INDIA,,5705.334712
2027,RF_ATF,2030,INDIA,,5705.334712
2028,RF_ATF,2030,INDIA,,5705.334712
2029,RF_ATF,2030,INDIA,,5705.334712
2030,RF_ATF,2030,INDIA,,5705.334712
2021,RF_ATF,2031,INDIA,,5705.334712
2022,RF_ATF,2031,INDIA,,5705.334712
2023,RF_ATF,2031,INDIA,,5705.334712
2024,RF_ATF,2031,INDIA,,5705.334712
2025,RF_ATF,2031,INDIA,,5705.334712
2026,RF_ATF,2031,INDIA,,5705.334712
2027,RF_ATF,2031,INDIA,,5705.334712
2028,RF_ATF,2031,INDIA,,5705.334712
2029,RF_ATF,2031,INDIA,,5705.334712
2030,RF_ATF,2031,INDIA,,5705.334712
2031,RF_ATF,2031,INDIA,,5705.334712
2020,RF_OTHERPP,2021,INDIA,,5705.334712
2020,RF_OTHERPP,2022,INDIA,,5705.334712
2020,RF_OTHERPP,2023,INDIA,,5705.334712
2020,RF_OTHERPP,2024,INDIA,,5705.334712
2020,RF_OTHERPP,2025,INDIA,,5705.334712
2020,RF_OTHERPP,2026,INDIA,,5705.334712
2020,RF_OTHERPP,2027,INDIA,,5705.334712
2020,RF_OTHERPP,2028,INDIA,,5705.334712
2020,RF_OTHERPP,2029,INDIA,,5705.334712
2020,RF_OTHERPP,2030,INDIA,,5705.334712
2020,RF_OTHERPP,2031,INDIA,,5705.334712
2021,RF_OTHERPP,2021,INDIA,,5705.334712
2021,RF_OTHERPP,2022,INDIA,,5705.334712
2022,RF_OTHERPP,2022,INDIA,,5705.334712
2021,RF_OTHERPP,2023,INDIA,,5705.334712
2022,RF_OTHERPP,2023,INDIA,,5705.334712
2023,RF_OTHERPP,2023,INDIA,,5705.334712
2021,RF_OTHERPP,2024,INDIA,,5705.334712
2022,RF_OTHERPP,2024,INDIA,,5705.334712
2023,RF_OTHERPP,2024,INDIA,,5705.334712
2024,RF_OTHERPP,2024,INDIA,,5705.334712
2021,RF_OTHERPP,2025,INDIA,,5705.334712
2022,RF_OTHERPP,2025,INDIA,,5705.334712
2023,RF_OTHERPP,2025,INDIA,,5705.334712
2024,RF_OTHERPP,2025,INDIA,,5705.334712
2025,RF_OTHERPP,2025,INDIA,,5705.334712
2021,RF_OTHERPP,2026,INDIA,,5705.334712
2022,RF_OTHERPP,2026,INDIA,,5705.334712
2023,RF_OTHERPP,2026,INDIA,,5705.334712
2024,RF_OTHERPP,2026,INDIA,,5705.334712
2025,RF_OTHERPP,2026,INDIA,,5705.334712
2026,RF_OTHERPP,2026,INDIA,,5705.334712
2021,RF_OTHERPP,2027,INDIA,,5705.334712
2022,RF_OTHERPP,2027,INDIA,,5705.334712
2023,RF_OTHERPP,2027,INDIA,,5705.334712
2024,RF_OTHERPP,2027,INDIA,,5705.334712
2025,RF_OTHERPP,2027,INDIA,,5705.334712
2026,RF_OTHERPP,2027,INDIA,,5705.334712
2027,RF_OTHERPP,2027,INDIA,,5705.334712
2021,RF_OTHERPP,2028,INDIA,,5705.334712
2022,RF_OTHERPP,2028,INDIA,,5705.334712
2023,RF_OTHERPP,2028,INDIA,,5705.334712
2024,RF_OTHERPP,2028,INDIA,,5705.334712
2025,RF_OTHERPP,2028,INDIA,,5705.334712
2026,RF_OTHERPP,2028,INDIA,,5705.334712
2027,RF_OTHERPP,2028,INDIA,,5705.334712
2028,RF_OTHERPP,2028,INDIA,,5705.334712
2021,RF_OTHERPP,2029,INDIA,,5705.334712
2022,RF_OTHERPP,2029,INDIA,,5705.334712
2023,RF_OTHERPP,2029,INDIA,,5705.334712
2024,RF_OTHERPP,2029,INDIA,,5705.334712
2025,RF_OTHERPP,2029,INDIA,,5705.334712
2026,RF_OTHERPP,2029,INDIA,,5705.334712
2027,RF_OTHERPP,2029,INDIA,,5705.334712
2028,RF_OTHERPP,2029,INDIA,,5705.334712
2029,RF_OTHERPP,2029,INDIA,,5705.334712
2021,RF_OTHERPP,2030,INDIA,,5705.334712
2022,RF_OTHERPP,2030,INDIA,,5705.334712
2023,RF_OTHERPP,2030,INDIA,,5705.334712
2024,RF_OTHERPP,2030,INDIA,,5705.334712
2025,RF_OTHERPP,2030,INDIA,,5705.334712
2026,RF_OTHERPP,2030,INDIA,,5705.334712
2027,RF_OTHERPP,2030,INDIA,,5705.334712
2028,RF_OTHERPP,2030,INDIA,,5705.334712
2029,RF_OTHERPP,2030,INDIA,,5705.334712
2030,RF_OTHERPP,2030,INDIA,,5705.334712
2021,RF_OTHERPP,2031,INDIA,,5705.334712
2022,RF_OTHERPP,2031,INDIA,,5705.334712
2023,RF_OTHERPP,2031,INDIA,,5705.334712
2024,RF_OTHERPP,2031,INDIA,,5705.334712
2025,RF_OTHERPP,2031,INDIA,,5705.334712
2026,RF_OTHERPP,2031,INDIA,,5705.334712
2027,RF_OTHERPP,2031,INDIA,,5705.334712
2028,RF_OTHERPP,2031,INDIA,,5705.334712
2029,RF_OTHERPP,2031,INDIA,,5705.334712
2030,RF_OTHERPP,2031,INDIA,,5705.334712
2031,RF_OTHERPP,2031,INDIA,,5705.334712
2020,EG_COAL,2021,INDIA,NR,9569.178147
2020,EG_COAL,2022,INDIA,NR,9585.671399
2020,EG_COAL,2023,INDIA,NR,9602.193078
2020,EG_COAL,2024,INDIA,NR,9618.743233
