EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H13,1.180502193
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H14,1.174481201
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H15,1.211831518
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H16,1.086139755
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H17,1.079690186
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H18,1.08455132
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H19,0.976643876
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H20,0.954929469
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H21,0.803635296
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H22,0.772904101
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H23,0.828979891
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H00,0.760659346
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H01,0.789589226
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H02,0.765091345
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H03,0.747355066
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H04,0.787905982
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H05,0.797908062
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H06,0.6893549
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H07,0.502892738
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H08,0.647625473
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H09,0.91712325
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H10,0.998359764
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H11,1.031677103
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H12,1.011880397
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H13,0.970743589
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H14,0.966793598
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H15,1.016695595
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H16,0.905367465
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H17,0.926722281
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H18,0.948628528
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H19,0.871967657
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H20,0.814423651
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H21,0.739387006
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H22,0.732221337
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S06Sep,ALLDAYS,H23,0.792430722
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H00,0.884132366
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H01,0.913832465
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H02,0.899097801
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H03,0.886982464
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H04,0.911839162
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H05,0.949014818
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H06,0.860863261
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H07,0.737146766
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H08,0.863808819
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H09,0.949680028
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H10,0.965883616
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H11,0.996445933
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H12,0.980509934
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H13,0.943172321
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H14,0.93923672
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H15,0.989676205
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H16,0.886677507
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H17,0.91912869
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H18,0.96953246
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H19,0.930490081
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H20,0.869702246
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H21,0.795707763
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H22,0.836698134
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S07Oct,ALLDAYS,H23,0.904797579
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H00,0.614941482
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H01,0.618328528
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H02,0.601135224
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H03,0.594920224
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H04,0.589248275
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H05,0.644320528
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H06,0.532589981
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H07,0.413790644
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H08,0.535505765
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H09,0.730947725
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H10,0.75792828
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H11,0.759501659
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H12,0.786637791
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H13,0.758452589
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H14,0.75055933
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H15,0.868772854
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H16,0.849754263
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H17,0.957011652
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H18,1.036431127
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H19,0.945683017
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H20,0.824233896
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H21,0.682138587
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H22,0.611450826
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S08Nov,ALLDAYS,H23,0.640549603
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H00,0.678164807
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H01,0.660868627
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H02,0.640391967
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H03,0.634867551
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H04,0.629963596
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H05,0.701153862
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H06,0.638960564
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H07,0.667130206
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H08,0.834792442
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H09,1.039402526
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H10,1.105400108
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H11,1.101768642
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H12,1.110528128
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H13,1.028028217
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H14,0.990171687
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H15,1.115403648
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H16,1.13065107
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H17,1.232283398
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H18,1.328465547
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H19,1.143270168
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H20,0.999410843
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H21,0.83835825
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H22,0.707781537
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S09Dec,ALLDAYS,H23,0.716573141
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H00,0.714048015
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H01,0.692333102
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H02,0.668617341
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H03,0.657498589
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H04,0.631410672
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H05,0.655990461
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H06,0.558358867
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H07,0.628269493
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H08,0.862724888
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H09,1.108023114
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H10,1.206995439
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H11,1.218448405
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H12,1.236757196
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H13,1.177800584
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H14,1.112237859
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H15,1.205264247
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H16,1.164760097
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H17,1.217580987
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H18,1.306105098
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H19,1.228242737
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H20,1.100882121
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H21,0.933744801
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H22,0.777327764
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S10Jan,ALLDAYS,H23,0.773686642
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S11Feb,ALLDAYS,H00,0.846292089
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S11Feb,ALLDAYS,H01,0.84306181
