ModelGeography,SubGeography1,SubGeography2,Year,PPC+OPC+PSC+CC+LC3
INDIA,WR,CG,2041,31.53500979
INDIA,SR,AP,2022,28.28816892
INDIA,SR,AP,2023,29.89530355
INDIA,SR,AP,2024,31.50628169
INDIA,SR,AP,2025,33.58278771
INDIA,SR,AP,2026,35.84890503
INDIA,SR,AP,2027,38.2024129
INDIA,SR,AP,2028,40.66640555
INDIA,SR,AP,2029,43.26771616
INDIA,SR,AP,2030,46.01271245
INDIA,SR,AP,2031,48.9078534
INDIA,SR,AP,2032,51.89440351
INDIA,SR,AP,2033,54.89925377
INDIA,SR,AP,2034,57.90426439
INDIA,SR,AP,2035,60.88990916
INDIA,SR,AP,2036,63.88559627
INDIA,SR,AP,2037,66.99191848
INDIA,SR,AP,2038,70.2089624
INDIA,SR,AP,2039,73.53592087
INDIA,SR,AP,2040,76.97088276
INDIA,SR,AP,2041,80.5105806
INDIA,SR,KA,2022,20.61281298
INDIA,SR,KA,2023,21.78388792
INDIA,SR,KA,2024,22.95776351
INDIA,SR,KA,2025,24.47085651
INDIA,SR,KA,2026,26.12211405
INDIA,SR,KA,2027,27.8370507
INDIA,SR,KA,2028,29.63249458
INDIA,SR,KA,2029,31.52799829
INDIA,SR,KA,2030,33.52820181
INDIA,SR,KA,2031,35.63781163
INDIA,SR,KA,2032,37.8140288
INDIA,SR,KA,2033,40.00358078
INDIA,SR,KA,2034,42.19324962
INDIA,SR,KA,2035,44.36880709
INDIA,SR,KA,2036,46.55168214
INDIA,SR,KA,2037,48.81517395
INDIA,SR,KA,2038,51.15934564
INDIA,SR,KA,2039,53.58360905
INDIA,SR,KA,2040,56.08657158
INDIA,SR,KA,2041,58.66585234
INDIA,SR,KL,2022,0.364873702
INDIA,SR,KL,2023,0.385603257
INDIA,SR,KL,2024,0.406382388
INDIA,SR,KL,2025,0.433166109
INDIA,SR,KL,2026,0.462395524
INDIA,SR,KL,2027,0.492752141
INDIA,SR,KL,2028,0.524533842
INDIA,SR,KL,2029,0.558086732
INDIA,SR,KL,2030,0.593492946
INDIA,SR,KL,2031,0.630835794
INDIA,SR,KL,2032,0.66935768
INDIA,SR,KL,2033,0.708115608
INDIA,SR,KL,2034,0.746875606
INDIA,SR,KL,2035,0.785385813
INDIA,SR,KL,2036,0.824025552
INDIA,SR,KL,2037,0.864092312
INDIA,SR,KL,2038,0.905587211
INDIA,SR,KL,2039,0.948499839
INDIA,SR,KL,2040,0.992805543
INDIA,SR,KL,2041,1.03846218
INDIA,SR,TN,2022,16.91801987
INDIA,SR,TN,2023,17.87918268
INDIA,SR,TN,2024,18.84264413
INDIA,SR,TN,2025,20.08451914
INDIA,SR,TN,2026,21.43979306
INDIA,SR,TN,2027,22.84733178
INDIA,SR,TN,2028,24.32094701
INDIA,SR,TN,2029,25.87668661
INDIA,SR,TN,2030,27.51835886
INDIA,SR,TN,2031,29.2498266
INDIA,SR,TN,2032,31.03596251
INDIA,SR,TN,2033,32.833043
INDIA,SR,TN,2034,34.63021939
INDIA,SR,TN,2035,36.41581384
INDIA,SR,TN,2036,38.20741422
INDIA,SR,TN,2037,40.06518101
INDIA,SR,TN,2038,41.98916602
INDIA,SR,TN,2039,43.97888652
INDIA,SR,TN,2040,46.03319954
INDIA,SR,TN,2041,48.15015092
INDIA,SR,TS,2022,13.52379533
INDIA,SR,TS,2023,14.29212218
INDIA,SR,TS,2024,15.06228651
INDIA,SR,TS,2025,16.05500691
INDIA,SR,TS,2026,17.13837526
INDIA,SR,TS,2027,18.26352263
INDIA,SR,TS,2028,19.44148973
INDIA,SR,TS,2029,20.68510476
INDIA,SR,TS,2030,21.99741197
INDIA,SR,TS,2031,23.38149921
INDIA,SR,TS,2032,24.80928666
INDIA,SR,TS,2033,26.2458229
INDIA,SR,TS,2034,27.68243581
INDIA,SR,TS,2035,29.10979044
INDIA,SR,TS,2036,30.54194603
INDIA,SR,TS,2037,32.02699322
INDIA,SR,TS,2038,33.56497341
INDIA,SR,TS,2039,35.15550073
INDIA,SR,TS,2040,36.79766151
INDIA,SR,TS,2041,38.48989367
