ModelGeography,SubGeography1,SubGeography2,Year,IPT3W+2W+IPT4W+4W+BUS+RAIL
INDIA,NER,AS,2018,39975
INDIA,NER,AS,2019,39975
INDIA,NER,AS,2020,39975
INDIA,NER,AS,2021,39975
INDIA,NER,AS,2022,39975
INDIA,NER,AS,2023,39975
INDIA,NER,AS,2024,39975
INDIA,NER,AS,2025,39975
INDIA,NER,AS,2026,39975
INDIA,NER,AS,2027,39975
INDIA,NER,AS,2028,39975
INDIA,NER,AS,2029,39975
INDIA,NER,AS,2030,39975
INDIA,NER,AS,2031,39312.74829039804
INDIA,NER,AS,2032,38661.467871024244
INDIA,NER,AS,2033,38020.97698438742
INDIA,NER,AS,2034,37391.09688410855
INDIA,NER,AS,2035,36771.65178503679
INDIA,NER,AS,2036,36162.468814191794
INDIA,NER,AS,2037,35563.37796251885
INDIA,NER,AS,2038,34974.212037443205
INDIA,NER,AS,2039,34394.80661621047
INDIA,NER,AS,2040,33825.00000000001
INDIA,NER,AS,2041,33264.63316879835
INDIA,NER,NE,2014,39975
INDIA,NER,NE,2015,39975
INDIA,NER,NE,2016,39975
INDIA,NER,NE,2017,39975
INDIA,NER,NE,2018,39975
INDIA,NER,NE,2019,39975
INDIA,NER,NE,2020,39975
INDIA,NER,NE,2021,39975
INDIA,NER,NE,2022,39975
INDIA,NER,NE,2023,39975
INDIA,NER,NE,2024,39975
INDIA,NER,NE,2025,39975
INDIA,NER,NE,2026,39975
INDIA,NER,NE,2027,39975
INDIA,NER,NE,2028,39975
INDIA,NER,NE,2029,39975
INDIA,NER,NE,2030,39975
INDIA,NER,NE,2031,39312.74829039804
INDIA,NER,NE,2032,38661.467871024244
INDIA,NER,NE,2033,38020.97698438742
INDIA,NER,NE,2034,37391.09688410855
INDIA,NER,NE,2035,36771.65178503679
INDIA,NER,NE,2036,36162.468814191794
INDIA,NER,NE,2037,35563.37796251885
INDIA,NER,NE,2038,34974.212037443205
INDIA,NER,NE,2039,34394.80661621047
INDIA,NER,NE,2040,33825.00000000001
INDIA,NER,NE,2041,33264.63316879835
INDIA,NR,DL,2014,39975
INDIA,NR,DL,2015,39975
INDIA,NR,DL,2016,39975
INDIA,NR,DL,2017,39975
INDIA,NR,DL,2018,39975
INDIA,NR,DL,2019,39975
INDIA,NR,DL,2020,39975
INDIA,NR,DL,2021,39975
INDIA,NR,DL,2022,39975
INDIA,NR,DL,2023,39975
INDIA,NR,DL,2024,39975
INDIA,NR,DL,2025,39975
INDIA,NR,DL,2026,39975
INDIA,NR,DL,2027,39975
INDIA,NR,DL,2028,39975
INDIA,NR,DL,2029,39975
INDIA,NR,DL,2030,39975
INDIA,NR,DL,2031,39312.74829039804
INDIA,NR,DL,2032,38661.467871024244
INDIA,NR,DL,2033,38020.97698438742
INDIA,NR,DL,2034,37391.09688410855
INDIA,NR,DL,2035,36771.65178503679
INDIA,NR,DL,2036,36162.468814191794
INDIA,NR,DL,2037,35563.37796251885
INDIA,NR,DL,2038,34974.212037443205
INDIA,NR,DL,2039,34394.80661621047
INDIA,NR,DL,2040,33825.00000000001
INDIA,NR,DL,2041,33264.63316879835
INDIA,NR,HP,2014,39975
INDIA,NR,HP,2015,39975
INDIA,NR,HP,2016,39975
INDIA,NR,HP,2017,39975
INDIA,NR,HP,2018,39975
INDIA,NR,HP,2019,39975
INDIA,NR,HP,2020,39975
INDIA,NR,HP,2021,39975
INDIA,NR,HP,2022,39975
INDIA,NR,HP,2023,39975
INDIA,NR,HP,2024,39975
INDIA,NR,HP,2025,39975
INDIA,NR,HP,2026,39975
INDIA,NR,HP,2027,39975
INDIA,NR,HP,2028,39975
INDIA,NR,HP,2029,39975
INDIA,NR,HP,2030,39975
INDIA,NR,HP,2031,39312.74829039804
INDIA,NR,HP,2032,38661.467871024244
INDIA,NR,HP,2033,38020.97698438742
INDIA,NR,HP,2034,37391.09688410855
INDIA,NR,HP,2035,36771.65178503679
INDIA,NR,HP,2036,36162.468814191794
INDIA,NR,HP,2037,35563.37796251885
INDIA,NR,HP,2038,34974.212037443205
INDIA,NR,HP,2039,34394.80661621047
INDIA,NR,HP,2040,33825.00000000001
INDIA,NR,HP,2041,33264.63316879835
INDIA,NR,HR,2014,39975
INDIA,NR,HR,2015,39975
INDIA,NR,HR,2016,39975
INDIA,NR,HR,2017,39975
INDIA,NR,HR,2018,39975
INDIA,NR,HR,2019,39975
INDIA,NR,HR,2020,39975
