EnergyCarrier,EmissionType,DemandSector,EnergyService,ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Emission
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2021,457.435790649867
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2022,463.6649267775186
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2023,468.2723397458664
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2024,472.8475673583015
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2025,477.38299472574136
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2026,481.91507244496864
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2027,486.4292061807339
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2028,490.98562414032995
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2029,495.5847223983141
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2030,500.226900746448
LPG,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2031,504.9125627147445
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2021,98.70772350606197
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2022,124.09184019094135
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2023,152.81264813748209
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2024,184.64401151818353
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2025,219.25975582108515
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2026,256.2544876432104
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2027,295.1675084717536
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2028,335.5073813331755
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2029,376.77510981386223
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2030,418.484438526825
LPG,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2031,460.17836707080613
