EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,EnergyDemand
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2035,1134.225803
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2035,1211.935502
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2036,1161.172545
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2036,1265.885947
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2037,1188.759483
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2037,1322.238047
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2038,1217.001827
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2038,1381.098714
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2039,1245.915147
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2039,1442.579619
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2040,1275.515385
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2040,1506.797403
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2041,1305.818861
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2041,1573.873903
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2024,4133.999211
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2024,4433.054231
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2025,4248.299471
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2025,4571.452606
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2026,4365.759999
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2026,4714.171728
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2027,4486.468175
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2027,4861.34649
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2028,4610.51379
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2028,5013.115996
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2029,4737.989122
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2029,5169.623692
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2030,4868.988999
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2030,5331.017502
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2031,5003.61087
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2031,5497.449969
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2032,5141.954878
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2032,5669.078399
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2033,5284.123937
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2033,5846.065008
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2034,5430.223805
