ServiceTechCategory,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,ServiceTech,TechSplitRatio
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2041,CK_LPG,0.834731897
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2041,CK_PNG,0.057337148
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2041,CK_BIOGAS,0.007478045
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2041,CK_INDUCTION,0.10045291
FRIDGE,RURAL,INDIA,NER,AS,2024,FR_DIRECTCOOL,0.780354825
FRIDGE,RURAL,INDIA,NER,AS,2024,FR_FROSTFREE,0.219645175
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2024,CK_LPG,0.987200792
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2024,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2024,CK_BIOGAS,0.007494692
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2024,CK_INDUCTION,0.005304515
FRIDGE,RURAL,INDIA,NER,AS,2025,FR_DIRECTCOOL,0.765159379
FRIDGE,RURAL,INDIA,NER,AS,2025,FR_FROSTFREE,0.234840621
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2025,CK_LPG,0.986538116
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2025,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2025,CK_BIOGAS,0.007275366
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2025,CK_INDUCTION,0.006186519
FRIDGE,RURAL,INDIA,NER,AS,2026,FR_DIRECTCOOL,0.748479024
FRIDGE,RURAL,INDIA,NER,AS,2026,FR_FROSTFREE,0.251520976
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2026,CK_LPG,0.985661724
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2026,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2026,CK_BIOGAS,0.007092454
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2026,CK_INDUCTION,0.007245822
FRIDGE,RURAL,INDIA,NER,AS,2027,FR_DIRECTCOOL,0.730859627
FRIDGE,RURAL,INDIA,NER,AS,2027,FR_FROSTFREE,0.269140373
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2027,CK_LPG,0.984708885
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2027,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2027,CK_BIOGAS,0.00684993
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2027,CK_INDUCTION,0.008441185
FRIDGE,RURAL,INDIA,NER,AS,2028,FR_DIRECTCOOL,0.712636836
FRIDGE,RURAL,INDIA,NER,AS,2028,FR_FROSTFREE,0.287363164
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2028,CK_LPG,0.983476796
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2028,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2028,CK_BIOGAS,0.006645362
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2028,CK_INDUCTION,0.009877842
FRIDGE,RURAL,INDIA,NER,AS,2029,FR_DIRECTCOOL,0.694052004
FRIDGE,RURAL,INDIA,NER,AS,2029,FR_FROSTFREE,0.305947996
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2029,CK_LPG,0.981924615
