EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,FixedTaxOHDEC
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2022,SPRING,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,WR,0.69053689
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,WR,0.69053689
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,WR,0.69053689
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,0.69053689
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,WR,0.69053689
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,WR,0.69053689
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,WR,0.69053689
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,WR,0.69053689
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,WR,0.69053689
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,0.69053689
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,WR,0.69053689
ELECTRICITY,2022,MONSOON,ALLDAYS,NIGHT,INDIA,WR,0.69053689
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,WR,0.69053689
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,WR,0.69053689
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,WR,0.69053689
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,0.69053689
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,WR,0.69053689
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,0.69053689
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,WR,0.69053689
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,WR,0.69053689
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,WR,0.69053689
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,0.69053689
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,WR,0.69053689
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,WR,0.69053689
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,WR,0.69053689
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,WR,0.69053689
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,WR,0.69053689
