EnergyConvTech,Year,ModelGeography,SubGeography1,MinCapacity
EG_SOLARPV,2022,INDIA,NER,0.03
EG_SOLARPV,2022,INDIA,NR,5.4688
EG_SOLARPV,2022,INDIA,SR,1.4370100000000001
EG_SOLARPV,2022,INDIA,WR,1.379948
EG_SOLARPV,2023,INDIA,ER,0.05871
EG_SOLARPV,2023,INDIA,NER,0.0
EG_SOLARPV,2023,INDIA,NR,8.833699999999999
EG_SOLARPV,2023,INDIA,SR,0.705515
EG_SOLARPV,2023,INDIA,WR,1.882422
EG_SOLARPV,2024,INDIA,ER,0.09785
EG_SOLARPV,2024,INDIA,NER,0.0
EG_SOLARPV,2024,INDIA,NR,10.789499999999999
EG_SOLARPV,2024,INDIA,SR,1.092525
EG_SOLARPV,2024,INDIA,WR,3.1373699999999998
EG_SOLARPV,2025,INDIA,ER,0.0
EG_SOLARPV,2025,INDIA,NER,0.0
EG_SOLARPV,2025,INDIA,NR,0.0
EG_SOLARPV,2025,INDIA,SR,0.0
EG_SOLARPV,2025,INDIA,WR,0.0
EG_SOLARPV,2026,INDIA,ER,0.0
EG_SOLARPV,2026,INDIA,NER,0.0
EG_SOLARPV,2026,INDIA,NR,0.0
EG_SOLARPV,2026,INDIA,SR,0.0
EG_SOLARPV,2026,INDIA,WR,0.0
EG_SOLARPV,2027,INDIA,ER,0.0
EG_SOLARPV,2027,INDIA,NER,0.0
EG_SOLARPV,2027,INDIA,NR,0.0
EG_SOLARPV,2027,INDIA,SR,0.0
EG_SOLARPV,2027,INDIA,WR,0.0
EG_SOLARPV,2028,INDIA,ER,0.0
EG_SOLARPV,2028,INDIA,NER,0.0
EG_SOLARPV,2028,INDIA,NR,0.0
EG_SOLARPV,2028,INDIA,SR,0.0
EG_SOLARPV,2028,INDIA,WR,0.0
EG_SOLARPV,2029,INDIA,ER,0.0
EG_SOLARPV,2029,INDIA,NER,0.0
EG_SOLARPV,2029,INDIA,NR,0.0
EG_SOLARPV,2029,INDIA,SR,0.0
EG_SOLARPV,2029,INDIA,WR,0.0
EG_SOLARPV,2030,INDIA,ER,0.0
EG_SOLARPV,2030,INDIA,NER,0.0
EG_SOLARPV,2030,INDIA,NR,0.0
EG_SOLARPV,2030,INDIA,SR,0.0
EG_SOLARPV,2030,INDIA,WR,0.0
EG_SOLARPV,2031,INDIA,ER,0.0
EG_SOLARPV,2031,INDIA,NER,0.0
EG_SOLARPV,2031,INDIA,NR,0.0
EG_SOLARPV,2031,INDIA,SR,0.0
EG_SOLARPV,2031,INDIA,WR,0.0
EG_WIND,2021,INDIA,ER,0.0
EG_WIND,2021,INDIA,NER,0.0
EG_WIND,2021,INDIA,NR,0.0271
EG_WIND,2021,INDIA,SR,0.2534
EG_WIND,2021,INDIA,WR,0.7649
EG_WIND,2022,INDIA,ER,0.0004
EG_WIND,2022,INDIA,NER,0.0
EG_WIND,2022,INDIA,NR,0.002256
EG_WIND,2022,INDIA,SR,0.5986800000000001
EG_WIND,2022,INDIA,WR,2.057014
EG_WIND,2023,INDIA,ER,0.0006
EG_WIND,2023,INDIA,NER,0.0
EG_WIND,2023,INDIA,NR,0.003384
EG_WIND,2023,INDIA,SR,1.24802
EG_WIND,2023,INDIA,WR,2.4485710000000003
EG_WIND,2024,INDIA,ER,0.001
EG_WIND,2024,INDIA,NER,0.0
EG_WIND,2024,INDIA,NR,0.00564
EG_WIND,2024,INDIA,SR,0.7467
EG_WIND,2024,INDIA,WR,2.686085
EG_WIND,2025,INDIA,ER,0.0
EG_WIND,2025,INDIA,NER,0.0
EG_WIND,2025,INDIA,NR,0.0
EG_WIND,2025,INDIA,SR,0.0
EG_WIND,2025,INDIA,WR,0.0
EG_WIND,2026,INDIA,ER,0.0
EG_WIND,2026,INDIA,NER,0.0
EG_WIND,2026,INDIA,NR,0.0
EG_WIND,2026,INDIA,SR,0.0
EG_WIND,2026,INDIA,WR,0.0
EG_WIND,2027,INDIA,ER,0.0
EG_WIND,2027,INDIA,NER,0.0
EG_WIND,2027,INDIA,NR,0.0
EG_WIND,2027,INDIA,SR,0.0
EG_WIND,2027,INDIA,WR,0.0
EG_WIND,2028,INDIA,ER,0.0
EG_WIND,2028,INDIA,NER,0.0
EG_WIND,2028,INDIA,NR,0.0
EG_WIND,2028,INDIA,SR,0.0
EG_WIND,2028,INDIA,WR,0.0
EG_WIND,2029,INDIA,ER,0.0
EG_WIND,2029,INDIA,NER,0.0
EG_WIND,2029,INDIA,NR,0.0
EG_WIND,2029,INDIA,SR,0.0
EG_WIND,2029,INDIA,WR,0.0
EG_WIND,2030,INDIA,ER,0.0
EG_WIND,2030,INDIA,NER,0.0
EG_WIND,2030,INDIA,NR,0.0
EG_WIND,2030,INDIA,SR,0.0
EG_WIND,2030,INDIA,WR,0.0
EG_WIND,2031,INDIA,ER,0.0
EG_WIND,2031,INDIA,NER,0.0
EG_WIND,2031,INDIA,NR,0.0
EG_WIND,2031,INDIA,SR,0.0
EG_WIND,2031,INDIA,WR,0.0
EG_PHWR,2021,INDIA,ER,0.0
EG_PHWR,2021,INDIA,NER,0.0
EG_PHWR,2021,INDIA,NR,0.0
EG_PHWR,2021,INDIA,SR,0.0
EG_PHWR,2021,INDIA,WR,0.0
EG_PHWR,2022,INDIA,ER,0.0
EG_PHWR,2022,INDIA,NER,0.0
EG_PHWR,2022,INDIA,NR,0.0
