Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Population,NumConsumers
2023,RURAL,INDIA,NR,JK,9643000,1988003
2025,URBAN,INDIA,ER,OD,8935000,2470744
2024,RURAL,INDIA,NR,JK,9673000,2017720
2026,URBAN,INDIA,ER,OD,9077000,2510010
2025,RURAL,INDIA,NR,JK,9706000,2048495
2027,URBAN,INDIA,ER,OD,9213000,2547618
2026,RURAL,INDIA,NR,JK,9736000,2079074
2028,URBAN,INDIA,ER,OD,9345000,2584119
2027,RURAL,INDIA,NR,JK,9763000,2109441
2029,URBAN,INDIA,ER,OD,9478000,2620897
2028,RURAL,INDIA,NR,JK,9788000,2139798
2030,URBAN,INDIA,ER,OD,9612000,2657951
2029,RURAL,INDIA,NR,JK,9814000,2170800
2031,URBAN,INDIA,ER,OD,9747000,2695282
2030,RURAL,INDIA,NR,JK,9840000,2202235
2032,URBAN,INDIA,ER,OD,9876000,2730953
2031,RURAL,INDIA,NR,JK,9863000,2233430
2033,URBAN,INDIA,ER,OD,10001000,2765519
2032,RURAL,INDIA,NR,JK,9880000,2263680
2034,URBAN,INDIA,ER,OD,10127000,2800361
2033,RURAL,INDIA,NR,JK,9892000,2293174
2035,URBAN,INDIA,ER,OD,10253000,2835203
2034,RURAL,INDIA,NR,JK,9903000,2322814
2036,URBAN,INDIA,ER,OD,10381000,2870598
2035,RURAL,INDIA,NR,JK,9915000,2353072
2037,URBAN,INDIA,ER,OD,10508000,2905717
2036,RURAL,INDIA,NR,JK,9924000,2383000
2038,URBAN,INDIA,ER,OD,10640489,2942353
2037,RURAL,INDIA,NR,JK,9934000,2413549
2039,URBAN,INDIA,ER,OD,10774649,2979451
2038,RURAL,INDIA,NR,JK,9945883,2444951
2040,URBAN,INDIA,ER,OD,10910499,3017017
2039,RURAL,INDIA,NR,JK,9957781,2476761
2041,URBAN,INDIA,ER,OD,11048063,3055057
2040,RURAL,INDIA,NR,JK,9969692,2508985
2021,URBAN,INDIA,WR,CG,7729000,1814604
2041,RURAL,INDIA,NR,JK,9981618,2541629
2022,URBAN,INDIA,WR,CG,7919000,1873465
2023,URBAN,INDIA,WR,CG,8106000,1932406
2024,URBAN,INDIA,WR,CG,8296000,1992862
2021,RURAL,INDIA,ER,JH,28396000,5997376
2025,URBAN,INDIA,WR,CG,8488000,2054615
2022,RURAL,INDIA,ER,JH,28710000,6134156
2026,URBAN,INDIA,WR,CG,8682000,2117685
2023,RURAL,INDIA,ER,JH,29010000,6270280
2027,URBAN,INDIA,WR,CG,8871000,2180373
2024,RURAL,INDIA,ER,JH,29309000,6408521
2028,URBAN,INDIA,WR,CG,9057000,2243154
2025,RURAL,INDIA,ER,JH,29606000,6548685
2029,URBAN,INDIA,WR,CG,9245000,2307269
2026,RURAL,INDIA,ER,JH,29903000,6691241
2030,URBAN,INDIA,WR,CG,9435000,2372739
2027,RURAL,INDIA,ER,JH,30178000,6831246
2031,URBAN,INDIA,WR,CG,9628000,2439836
2028,RURAL,INDIA,ER,JH,30436000,6969709
2032,URBAN,INDIA,WR,CG,9817000,2506802
2029,RURAL,INDIA,ER,JH,30693000,7110235
2033,URBAN,INDIA,WR,CG,10005000,2574393
2030,RURAL,INDIA,ER,JH,30950000,7253086
2034,URBAN,INDIA,WR,CG,10194000,2643133
